char,division,division_tw,region
转,车二㇉丶,,CJK
总,丷口心,,CJK
算,⺮目廾,,CJK
城,土戊㇆,,CJK
队,阝人,,CJK
孩,子亥,,CJK
反,⺁又,厂又,CJK
工,工,,CJK
始,女厶口,,CJK
满,氵艹一人,,CJK
新,立木斤,,CJK
兵,斤一八,,CJK
物,牛勹,,CJK
离,文凵冂厶,,CJK
非,非,,CJK
虽,口虫,,CJK
云,二厶,,CJK
似,亻乚丶人,,CJK
万,一勹,,CJK
至,至,,CJK
干,干,,CJK
通,マ用辶,,CJK
认,讠人,,CJK
失,丿夫,,CJK
火,火,,CJK
哥,丅口丁口,,CJK
士,士,,CJK
五,一,,CJK
惊,忄小,,CJK
魔,麻鬼,,CJK
竟,立日儿,,CJK
姐,女且,,CJK
乎,丿丷,,CJK
剑,人一刂,,CJK
往,彳丶王,,CJK
量,日一里,,CJK
早,早,,CJK
结,纟士口,,CJK
怕,忄白,,CJK
流,氵亠厶,氵七丶,CJK
突,穴犬,,CJK
坐,人人土,,CJK
斯,其斤,,CJK
音,立日,,CJK
紧,〢又糸,,CJK
指,扌匕日,,CJK
拉,扌立,,CJK
杀,乂木,,CJK
半,丷,,CJK
记,讠己,,CJK
且,且,,CJK
利,禾刂,,CJK
合,合,,CJK
倒,亻至刂,,CJK
书,乛㇆丨丶,,CJK
度,广卄一又,,CJK
微,一几,一儿,CJK
步,止,,CJK
教,耂子夊,,CJK
喜,壴口,,CJK
越,走戈乚,,CJK
影,日小彡,,CJK
谁,讠隹,,CJK
冷,冫人丶マ,冫人一マ,CJK
深,氵冖八木,氵冖儿木,CJK
告,⺧口,,CJK
落,艹氵夊口,,CJK
象,⺈口,⺈,CJK
容,穴人口,,CJK
怪,忄又土,,CJK
传,亻二㇉丶,,CJK
钱,钅一戈,,CJK
提,扌日一龰,,CJK
言,言,,CJK
随,阝月辶,,CJK
每,𠂉母,,CJK
双,又又,,CJK
服,月卩又,,CJK
击,凵,,CJK
武,一弋止,,CJK
哪,口㇆阝,,CJK
数,米女夊,,CJK
站,立⺊口,,CJK
奇,大丁口,,CJK
房,户方,戶方,CJK
管,⺮宀尸コ,,CJK
灵,彐火,,CJK
刻,亥刂,,CJK
题,日一龰页,,CJK
衣,亠𧘇,,CJK
周,土口,,CJK
静,龶月⺈亅,,CJK
伤,亻𠂉力,,CJK
百,丆日,,CJK
拿,合手,,CJK
妈,女马,,CJK
办,力八,,CJK
星,日生,,CJK
化,亻匕,,CJK
功,工力,,CJK
绝,纟⺈巴,,CJK
系,丿糸,,CJK
般,舟殳,,CJK
必,心丿,,CJK
业,业,,CJK
尔,⺈小,,CJK
件,亻牛,,CJK
血,丿皿,,CJK
代,亻弋,,CJK
精,米龶月,,CJK
弟,丷弓丨丿,,CJK
终,纟夊⺀,,CJK
近,斤辶,,CJK
条,夊木,,CJK
青,龶月,,CJK
界,田人,,CJK
司,㇆一口,,CJK
整,木口夊止,,CJK
欢,又欠,,CJK
字,宀子,,CJK
晚,日⺈口儿,,CJK
民,巳七,,CJK
帮,丰阝巾,,CJK
切,七刀,,CJK
即,彐厶卩,,CJK
忙,忄亡,,CJK
交,亠八乂,,CJK
或,戈口一,,CJK
暗,日立日,,CJK
夫,夫,,CJK
员,口贝,,CJK
根,木艮,,CJK
石,石,,CJK
哈,口合,,CJK
夜,亠亻夕乀,,CJK
父,八乂,,CJK
制,牛冂刂,,CJK
友,又,,CJK
阿,阝丁口,,CJK
息,自心,,CJK
冲,冫口丨,,CJK
酒,氵酉,,CJK
保,亻口木,,CJK
片,片,,CJK
形,一廾彡,,CJK
阵,阝车,,CJK
南,十冂,,CJK
决,冫ユ人,,CJK
请,讠龶月,,CJK
各,夊口,,CJK
报,扌卩又,,CJK
兴,八,,CJK
阳,阝日,,CJK
急,⺈彐心,,CJK
语,讠一口,,CJK
令,人丶マ,人一マ,CJK
错,钅龷日,,CJK
及,乃乀,丿乛又,CJK
刘,文刂,,CJK
极,木乃乀,木丿乛又,CJK
识,讠口八,,CJK
备,夊田,,CJK
慢,忄日罒又,忄冂二又,CJK
雪,雨彐,,CJK
苦,艹古,,CJK
若,艹口,,CJK
领,人丶マ页,人一マ页,CJK
收,丩夊,,CJK
底,广七丶,广七一,CJK
尽,尸乀⺀,,CJK
准,冫隹,,CJK
华,亻匕十,,CJK
答,⺮合,,CJK
众,人人人,,CJK
千,千,,CJK
消,氵⺌月,氵⺌⺼,CJK
视,示见,,CJK
罗,罒夕,,CJK
敢,乛耳夊,丅耳夊,CJK
留,卯田,,CJK
克,古儿,,CJK
乐,小,,CJK
够,勹口夕夕,,CJK
跑,足勹巳,,CJK
显,日业,,CJK
嘴,口止匕用,口止匕土,CJK
官,宀尸コ,,CJK
断,米乚斤,,CJK
未,未,,CJK
势,扌九丶力,,CJK
句,勹口,,CJK
求,一水丶,,CJK
计,讠十,,CJK
论,讠人匕,,CJK
达,大辶,,CJK
则,贝刂,,CJK
害,宀丰口,宀龶口,CJK
八,八,,CJK
单,丷日十,,CJK
久,⺈丶,,CJK
脚,月土厶卩,⺼土厶卩,CJK
德,彳十罒心,,CJK
元,一兀,,CJK
脑,月文凵,,CJK
楚,木木乛龰,,CJK
雨,雨,,CJK
睛,目龶月,,CJK
响,口向,,CJK
刀,刀,,CJK
确,石⺈用,石⺈土,CJK
玉,王丶,,CJK
沉,氵冖几,氵冖儿,CJK
北,丬匕,,CJK
格,木夊口,,CJK
停,亻丁,,CJK
陈,阝七小,,CJK
市,亠巾,,CJK
朝,十早月,,CJK
喝,口日勹乚,,CJK
族,方𠂉矢,,CJK
江,氵工,,CJK
团,囗丿,,CJK
母,母,,CJK
章,立早,,CJK
装,丬士亠𧘇,,CJK
亮,几,儿,CJK
客,宀夊口,,CJK
照,日刀口灬,,CJK
乱,舌乚,,CJK
易,日勹,,CJK
足,足,,CJK
依,亻亠𧘇,,CJK
黄,龷由八,龷田八,CJK
修,亻丨夊彡,,CJK
破,石皮,,CJK
台,厶口,,CJK
球,王一水丶,,CJK
呀,口牙,,CJK
院,阝宀一兀,,CJK
送,䒑大辶,,CJK
包,勹巳,,CJK
义,丶乂,,CJK
诉,讠斤丶,,CJK
攻,工夊,,CJK
丝,一,,CJK
围,囗㇆,,CJK
玩,王一兀,,CJK
待,彳土寸,彳士寸,CJK
复,𠂉日夊,,CJK
况,冫口儿,,CJK
楼,木米女,,CJK
丽,一,一一,CJK
痛,疒マ用,,CJK
梦,木木夕,,CJK
呼,口丿丷,,CJK
摇,扌爫缶,,CJK
期,其月,,CJK
英,艹冂大,,CJK
低,亻七丶,亻七一,CJK
帝,亠丷冖巾,,CJK
兄,口儿,,CJK
背,丬匕月,丬匕⺼,CJK
持,扌土寸,扌士寸,CJK
爷,八乂卩,,CJK
皇,白王,,CJK
七,七,,CJK
六,亠八,,CJK
穿,穴牙,,CJK
杨,木𠄎,,CJK
政,一止夊,,CJK
运,二厶辶,,CJK
居,尸古,,CJK
叶,口十,,CJK
热,扌九丶灬,,CJK
校,木亠八乂,,CJK
谢,讠身寸,,CJK
曾,丷日,,CJK
古,古,,CJK
细,纟田,,CJK
产,立丿,,CJK
睡,目千龷一,目千艹二,CJK
希,乂巾,,CJK
速,木口辶,,CJK
室,宀至,,CJK
旁,亠丷冖方,,CJK
另,口力,,CJK
怀,忄不,,CJK
露,雨足夊口,,CJK
异,巳廾,己廾,CJK
写,冖丂一,,CJK
