char,division,division_tw,region
䃭,石戊一心,,CJK-A
䃮,石土羊辶,,CJK-A
䃯,石白冫木,,CJK-A
䃰,石宀示,,CJK-A
䃱,石十戈一,,CJK-A
䃲,石舟殳皿,,CJK-A
䃳,石巛囗,,CJK-A
䃴,石言耂日,,CJK-A
䃵,石亠馬𧘇,,CJK-A
䃶,石亠罒𧘇,,CJK-A
䃷,石女,,CJK-A
䃸,石人人一,,CJK-A
䃹,石門木丷,,CJK-A
䃺,石麻非,,CJK-A
䃻,石雨革月,,CJK-A
䃼,示卜,,CJK-A
䃽,示十又,,CJK-A
䃾,示匕匕,,CJK-A
䃿,示夫,,CJK-A
䄀,示戈,,CJK-A
䄁,示世,,CJK-A
䄂,示由,,CJK-A
䄃,示冂大,,CJK-A
䄄,示囗大,,CJK-A
䄅,丷夫示,,CJK-A
䄆,示舌,,CJK-A
䄇,示口王,示口壬,CJK-A
䄈,示一口䒑,,CJK-A
䄉,示丿扌戈,,CJK-A
䄊,示士心,,CJK-A
䄋,示大电,,CJK-A
䄌,示又又又,,CJK-A
䄍,示龷日,,CJK-A
䄎,示大丁口,,CJK-A
䄏,示艹夭,,CJK-A
䄐,屮凵示巳,,CJK-A
䄑,示七日,,CJK-A
䄒,示人丶心,示人一心,CJK-A
䄓,示白王,,CJK-A
䄔,示丿口,,CJK-A
䄕,示水田,,CJK-A
䄖,示人一刂,,CJK-A
䄗,示片爿一,,CJK-A
䄘,示亠丷方,,CJK-A
䄙,示冖日八,,CJK-A
䄚,示日,,CJK-A
䄛,示口十女,,CJK-A
䄜,示文凵厶,,CJK-A
䄝,示𡗗臼,,CJK-A
䄞,示示,,CJK-A
䄟,毛毛毛示,,CJK-A
䄠,示亠囗一,,CJK-A
䄡,示⺈厂言,,CJK-A
䄢,示亠丷二,,CJK-A
䄣,示士罒貝,,CJK-A
䄤,示木口貝,,CJK-A
䄥,示雨口人,,CJK-A
䄦,禾了,,CJK-A
䄧,禾乃,,CJK-A
䄨,禾一,,CJK-A
䄩,禾弋,,CJK-A
䄪,禾勹丶,,CJK-A
䄫,禾己,,CJK-A
䄬,禾也,,CJK-A
䄭,禾千,,CJK-A
䄮,禾夫,,CJK-A
䄯,禾一廾,,CJK-A
䄰,禾牙,,CJK-A
䄱,禾方,,CJK-A
䄲,禾冂人,禾冂入,CJK-A
䄳,禾止,,CJK-A
䄴,禾月,,CJK-A
䄵,禾ヰ,,CJK-A
䄶,禾弓,,CJK-A
䄷,禾石,,CJK-A
䄸,禾白,,CJK-A
䄹,禾人千,,CJK-A
䄺,禾大弓,,CJK-A
䄻,禾儿冫,,CJK-A
䄼,禾一囗人,,CJK-A
䄽,禾西,,CJK-A
䄾,禾戈,,CJK-A
䄿,禾电丿,,CJK-A
䅀,禾一夕刂,,CJK-A
䅁,宀女禾,,CJK-A
䅂,禾夊口,,CJK-A
䅃,工几丶禾,,CJK-A
䅄,禾力力力,,CJK-A
䅅,禾土土,,CJK-A
䅆,禾冫欠,禾二欠,CJK-A
䅇,覀禾,,CJK-A
䅈,丷夫禾,,CJK-A
䅉,禾一业,,CJK-A
䅊,禾广丿七,,CJK-A
䅋,禾⺈口儿,,CJK-A
䅌,禾口月,禾口⺼,CJK-A
䅍,禾壬廴,,CJK-A
䅎,禾禾乃,,CJK-A
䅏,禾尸毛,,CJK-A
䅐,禾見,,CJK-A
䅑,禾爫女,,CJK-A
䅒,禾艹亡,,CJK-A
䅓,禾勹口又,,CJK-A
䅔,禾巛田,,CJK-A
䅕,禾尸古,,CJK-A
䅖,禾大电,,CJK-A
䅗,禾禾女,,CJK-A
䅘,禾來,,CJK-A
䅙,禾日匕匕,,CJK-A
䅚,禾丷夫㔾,,CJK-A
䅛,禾日日,,CJK-A
䅜,禾千龷一,禾千艹二,CJK-A
䅝,禾穴工,,CJK-A
䅞,禾日一寸,,CJK-A
䅟,禾厶大彡,,CJK-A
䅠,禾日一龰,,CJK-A
䅡,禾頁,,CJK-A
䅢,禾由月,禾由⺼,CJK-A
䅣,禾白王,,CJK-A
䅤,禾千臼,禾干臼,CJK-A
䅥,禾日勹乚,,CJK-A
䅦,禾艹田,,CJK-A
䅧,禾立日,,CJK-A
䅨,禾禾日,,CJK-A
䅩,禾十又八,,CJK-A
䅪,禾口丄贝,,CJK-A
䅫,禾亠日小,,CJK-A
䅬,禾䒑八皿,,CJK-A
䅭,禾亠丷方,,CJK-A
䅮,禾人丶口,禾人一口,CJK-A
䅯,禾广肀口,,CJK-A
䅰,禾囗大心,,CJK-A
䅱,禾山一䒑,,CJK-A
䅲,禾耂匕日,,CJK-A
䅳,禾勹屮屮,,CJK-A
䅴,禾十冖糸,,CJK-A
䅵,禾⺷灬,,CJK-A
䅶,禾辰寸,,CJK-A
䅷,禾艹人木,,CJK-A
䅸,禾艹辛,,CJK-A
䅹,禾口十女,,CJK-A
䅺,禾覀示,,CJK-A
䅻,禾文凵厶,,CJK-A
䅼,禾日罒又,禾冂二又,CJK-A
䅽,士殳禾,,CJK-A
䅾,禾匚儿日,,CJK-A
䅿,禾艹十,禾艹一,CJK-A
䆀,禾黑,,CJK-A
䆁,禾罒土,,CJK-A
䆂,禾广䒑八,,CJK-A
䆃,䒑自辶禾,,CJK-A
䆄,禾亠囗一,,CJK-A
䆅,禾冫欠貝,禾二欠貝,CJK-A
䆆,禾口口木,,CJK-A
䆇,禾几鳥,,CJK-A
䆈,禾尸水辶,,CJK-A
䆉,禾罒厶匕,,CJK-A
䆊,禾丬匕八,,CJK-A
䆋,禾⺈彐,,CJK-A
䆌,禾禾尤言,,CJK-A
䆍,禾立月,禾立⺼,CJK-A
䆎,禾人人一,,CJK-A
䆏,禾米田八,,CJK-A
䆐,𡗗禾𡗗禾,,CJK-A
䆑,穴丁,,CJK-A
䆒,穴九丶,,CJK-A
䆓,穴厶儿,,CJK-A
䆔,穴口丨,,CJK-A
䆕,穴ユ人,,CJK-A
䆖,穴厶,,CJK-A
䆗,穴口丩,,CJK-A
䆘,穴甲,,CJK-A
䆙,穴一止,,CJK-A
䆚,穴冂一口,,CJK-A
䆛,穴口丿七,,CJK-A
䆜,穴月,,CJK-A
䆝,穴丿皿,,CJK-A
䆞,穴日匕,,CJK-A
䆟,穴合,,CJK-A
䆠,穴臣,,CJK-A
䆡,穴丶艮,,CJK-A
䆢,穴扌ユ人,,CJK-A
䆣,穴辰,,CJK-A
䆤,穴身,,CJK-A
䆥,穴豕,,CJK-A
䆦,穴火火,,CJK-A
䆧,穴禾女,,CJK-A
䆨,穴日一大,,CJK-A
䆩,穴目大,,CJK-A
䆪,⺌兀穴工,,CJK-A
䆫,穴勹心,,CJK-A
䆬,穴口貝,,CJK-A
䆭,穴車干,,CJK-A
䆮,穴氵彐又,,CJK-A
䆯,穴又又女,,CJK-A
䆰,穴匚口口,,CJK-A
䆱,穴氵火火,,CJK-A
䆲,穴广隶,,CJK-A
䆳,穴豕辶,,CJK-A
䆴,穴⺈日电,,CJK-A
䆵,穴丷日,,CJK-A
䆶,穴隹灬,,CJK-A
䆷,穴予丿口,,CJK-A
䆸,穴癶一䒑,,CJK-A
䆹,穴立里,,CJK-A
䆺,穴丿米田,,CJK-A
䆻,穴乛耳夊,穴丅耳夊,CJK-A
䆼,穴咼辶,,CJK-A
䆽,穴虍豕,,CJK-A
䆾,穴臣皿,穴臣𠂉皿,CJK-A
䆿,穴爿自木,,CJK-A
䇀,穴革耳,,CJK-A
䇁,穴魚羊,,CJK-A
䇂,立丨,,CJK-A
䇃,立巳,,CJK-A
䇄,立𠂉乙,,CJK-A
䇅,立戈,,CJK-A
䇆,立⺀十,,CJK-A
䇇,立巳七,,CJK-A
䇈,立又土,,CJK-A
䇉,立石,,CJK-A
䇊,立广厶,,CJK-A
䇋,立夕夕,,CJK-A
䇌,立⺌月,立⺌⺼,CJK-A
䇍,立足,,CJK-A
䇎,立龷日,,CJK-A
䇏,立子,,CJK-A
䇐,立隶,,CJK-A
䇑,立十,,CJK-A
䇒,彐厶匚立,,CJK-A
䇓,彡頁立,,CJK-A
䇔,立,,CJK-A
䇕,立雨而,,CJK-A
䇖,⺮勹丿,,CJK-A
䇗,⺮八厶,,CJK-A
䇘,⺮一彑,,CJK-A
䇙,⺮弓丨,,CJK-A
䇚,⺮亻卜,,CJK-A
䇛,⺮止,,CJK-A
䇜,⺮欠,,CJK-A
䇝,⺮戈,,CJK-A
䇞,⺮卄二,,CJK-A
䇟,⺮夕力,,CJK-A
䇠,⺮丶王,,CJK-A
䇡,⺮宀丁,,CJK-A
䇢,⺮古,,CJK-A
䇣,⺮人小,,CJK-A
䇤,⺮一冂人,,CJK-A
䇥,⺮一止,,CJK-A
䇦,⺮冂大,,CJK-A
䇧,⺮一囗人,,CJK-A
䇨,⺮夊ヰ,,CJK-A
䇩,⺮电丿,,CJK-A
䇪,⺮至,,CJK-A
䇫,⺮,,CJK-A
䇬,⺮牛八,,CJK-A
䇭,⺮耂匕,,CJK-A
䇮,⺮亻壬,,CJK-A
䇯,⺮耳,,CJK-A
䇰,⺮乛水一,,CJK-A
䇱,⺮囗夊,⺮囗夕,CJK-A
䇲,⺮夫丷,,CJK-A
䇳,⺮二戈,,CJK-A
䇴,⺮西,,CJK-A
䇵,⺮氵斤,,CJK-A
䇶,⺮⺈用,⺮⺈土,CJK-A
䇷,⺮口力刂,⺮口勹刂,CJK-A
䇸,⺮口王,⺮口壬,CJK-A
䇹,⺮彐丿口,,CJK-A
䇺,⺮一口䒑,,CJK-A
䇻,⺮尸毛,,CJK-A
䇼,⺮口巴,,CJK-A
䇽,⺮扌斤,,CJK-A
䇾,⺮言,,CJK-A
䇿,⺮木口,,CJK-A
䈀,⺮冊刂,,CJK-A
䈁,⺮人一冊,,CJK-A
䈂,⺮䒑廾,,CJK-A
䈃,⺮氵刀口,,CJK-A
䈄,⺮乛水凵,,CJK-A
䈅,⺮戈口一,,CJK-A
䈆,⺮户犬,⺮戶犬,CJK-A
䈇,⺮⺊早,,CJK-A
䈈,⺮月巴,⺮⺼巴,CJK-A
䈉,⺮立女,,CJK-A
䈊,⺮土八夊,⺮土儿夊,CJK-A
䈋,⺮水日,,CJK-A
䈌,⺮氵且,,CJK-A
䈍,⺮亡目,,CJK-A
䈎,⺮世木,,CJK-A
䈏,⺮一口田,,CJK-A
䈐,⺮忄火,,CJK-A
䈑,⺮咼,,CJK-A
䈒,⺮十冂,,CJK-A
䈓,⺮日勹乚,,CJK-A
䈔,⺮尸二又,,CJK-A
䈕,⺮日一龰,,CJK-A
䈖,⺮禾⺀十,,CJK-A
䈗,⺮亻厶夊,,CJK-A
䈘,⺮䒑幺幺,,CJK-A
䈙,⺮糹寸,,CJK-A
䈚,⺮厶口心,,CJK-A
䈛,⺮⺊冊又,,CJK-A
䈜,⺮亻彐又,,CJK-A
䈝,⺮乛龰月,⺮乛龰⺼,CJK-A
䈞,⺮日,,CJK-A
䈟,⺮貝刂,,CJK-A
䈠,⺮爫干又,,CJK-A
䈡,⺮勹心,,CJK-A
䈢,⺮厶口木,,CJK-A
䈣,⺮一止夊,,CJK-A
䈤,⺮木卄二,,CJK-A
䈥,⺮⺈用力,⺮⺈力,CJK-A
䈦,⺮乂凵夊,,CJK-A
䈧,⺮丶,,CJK-A
䈨,⺮阝艮,,CJK-A
䈩,⺮人一刂,,CJK-A
䈪,⺮一口丨,,CJK-A
䈫,⺮糹冂人,⺮糹冂入,CJK-A
䈬,⺮氵甫,,CJK-A
䈭,⺮鬼,,CJK-A
䈮,⺮立勹口,,CJK-A
䈯,⺮十八,,CJK-A
䈰,⺮扌⺌月,⺮扌⺌⺼,CJK-A
䈱,⺮爫臼,,CJK-A
䈲,⺮舟殳,,CJK-A
䈳,⺮日习习,⺮冂二习,CJK-A
䈴,⺮䒑彐八,,CJK-A
䈵,⺮八厶习,,CJK-A
䈶,⺮穴人口,,CJK-A
䈷,⺮木夊口,,CJK-A
䈸,⺮⺈用十,⺮⺈十,CJK-A
䈹,⺮宀亻日,,CJK-A
䈺,⺮糹夊⺀,,CJK-A
䈻,⺮月甫,⺮⺼甫,CJK-A
䈼,⺮宀心山,,CJK-A
䈽,⺮革二,,CJK-A
䈾,⺮木⺌月,⺮木⺌⺼,CJK-A
䈿,⺮冖日八,⺮宀日八,CJK-A
䉀,⺮广卄灬,,CJK-A
䉁,⺮耳人マ,,CJK-A
䉂,⺮田糸,,CJK-A
䉃,⺮爿寸,,CJK-A
䉄,⺮阝土夊,,CJK-A
䉅,⺮土丶,,CJK-A
䉆,⺮鳥,,CJK-A
䉇,⺮其乚刂,,CJK-A
䉈,⺮龷月夊,⺮龷⺼夊,CJK-A
䉉,⺮⺈用瓜,⺮⺈瓜,CJK-A
䉊,⺮厶大車,,CJK-A
䉋,⺮女目,,CJK-A
䉌,⺮阝䒑,,CJK-A
䉍,⺮門心,,CJK-A
䉎,⺮尚木,,CJK-A
䉏,⺮⺈用牛,⺮⺈牛,CJK-A
䉐,⺮車古,,CJK-A
䉑,⺮𠂉卌灬,,CJK-A
䉒,⺮丿米田,,CJK-A
䉓,⺮木日木,,CJK-A
䉔,⺮一夕戈,,CJK-A
䉕,⺮丷日,,CJK-A
䉖,⺮車人マ,,CJK-A
䉗,⺮扌口耳,,CJK-A
䉘,⺮木宀示,,CJK-A
䉙,⺮雨二厶,,CJK-A
䉚,⺮罒冖瓦,,CJK-A
䉛,⺮米大,⺮丿大,CJK-A
䉜,⺮矢隹,,CJK-A
䉝,⺮⺷丿戈,,CJK-A
䉞,⺮戊一心,,CJK-A
䉟,⺮扌隹又,,CJK-A
䉠,⺮一几,⺮一儿,CJK-A
䉡,⺮亠囗一,,CJK-A
䉢,⺮土人口,,CJK-A
䉣,⺮臼勹灬,,CJK-A
䉤,⺮米女夊,,CJK-A
䉥,⺮扌心,,CJK-A
䉦,⺮覀大辶,,CJK-A
䉧,⺮卯金刂,,CJK-A
䉨,⺮立殳,,CJK-A
䉩,⺮木匚口,,CJK-A
䉪,⺮田田田,,CJK-A
䉫,⺮禾勹水,,CJK-A
䉬,⺮广癶殳,,CJK-A
䉭,⺮巛囗,,CJK-A
䉮,⺮門隹,,CJK-A
䉯,⺮臣又貝,,CJK-A
䉰,⺮骨亠乂,,CJK-A
䉱,⺮衤匚口,,CJK-A
䉲,⺮弓一乂,,CJK-A
䉳,⺮魚羊,,CJK-A
䉴,⺮𧘇,,CJK-A
䉵,⺮目大食,,CJK-A
䉶,⺮隹隹又,,CJK-A
䉷,⺮口口夊,,CJK-A
䉸,⺮辛言辛,,CJK-A
䉹,⺮雨口人,,CJK-A
䉺,米工,,CJK-A
䉻,米七,,CJK-A
䉼,米斤,,CJK-A
䉽,米丷,,CJK-A
䉾,丬匕米,,CJK-A
䉿,米丿丷,,CJK-A
䊀,米古,,CJK-A
䊁,米⺧儿,,CJK-A
䊂,米木冂,,CJK-A
䊃,米几一巾,,CJK-A
䊄,工几丶米,,CJK-A
䊅,米夕口,,CJK-A
䊆,臼米,,CJK-A
䊇,米甫,,CJK-A
䊈,米𠂉母,,CJK-A
䊉,米宀木,,CJK-A
䊊,米尸毛,,CJK-A
䊋,米爿士,,CJK-A
䊌,米广匕匕,,CJK-A
䊍,禾勹丿米,,CJK-A
䊎,米丷夫㔾,,CJK-A
䊏,米火火,,CJK-A
䊐,米日匕匕,,CJK-A
䊑,米尚,,CJK-A
䊒,米隹,,CJK-A
䊓,米日一龰,,CJK-A
䊔,米艹冂大,,CJK-A
䊕,米彐廴,,CJK-A
䊖,米十冂,,CJK-A
䊗,米白王,,CJK-A
䊘,米由月,米由⺼,CJK-A
䊙,石一廾米,,CJK-A
䊚,米𠂤辶,,CJK-A
䊛,米乂木殳,,CJK-A
䊜,米寸,,CJK-A
䊝,米丿米心,,CJK-A
䊞,米亠丷古,,CJK-A
䊟,米卄一入,,CJK-A
䊠,彐厶匚米,,CJK-A
䊡,米日罒又,米冂二又,CJK-A
䊢,爿寸米,,CJK-A
䊣,米龷由八,米卄二八,CJK-A
䊤,米覀早,,CJK-A
䊥,米肀片一,,CJK-A
䊦,米士冖䒑,,CJK-A
䊧,米弓貝,,CJK-A
䊨,亡口月几,,CJK-A
䊩,米丿米田,,CJK-A
䊪,米艹禺,,CJK-A
䊫,米罒非,,CJK-A
䊬,禾日木米,,CJK-A
䊭,米士乛寸,,CJK-A
䊮,米习习隹,,CJK-A
䊯,米广龷八,米广卄八,CJK-A
䊰,米言耂日,,CJK-A
䊱,米人人一,,CJK-A
䊲,覀米立生,覀米文生,CJK-A
䊳,米麻非,,CJK-A
䊴,米⺮僉,,CJK-A
䊵,糹九,,CJK-A
䊶,糹也,,CJK-A
䊷,糹丿,,CJK-A
䊸,糹一丂,,CJK-A
䊹,糹千,,CJK-A
䊺,糹一彑,,CJK-A
䊻,糹欠,,CJK-A
䊼,糹止,,CJK-A
䊽,糹ユ人,,CJK-A
䊾,糹木,,CJK-A
䊿,糹夫,,CJK-A
䋀,户糸,戶糸,CJK-A
䋁,糹亠几,,CJK-A
䋂,糹乂乂,,CJK-A
䋃,糹毛,,CJK-A
䋄,糹冂乂,,CJK-A
䋅,糸牛,,CJK-A
䋆,糸戸,,CJK-A
䋇,糸尸乀,,CJK-A
䋈,女又糸,,CJK-A
䋉,糹穴,,CJK-A
䋊,糹一止,,CJK-A
䋋,糹巳七,,CJK-A
䋌,糹匚コ,,CJK-A
䋍,糹丁口,,CJK-A
䋎,糹日一,,CJK-A
䋏,糹𠂉,,CJK-A
䋐,糹戈乚,,CJK-A
䋑,糹一冂人,,CJK-A
䋒,糹予丿,,CJK-A
䋓,糹⺈彐,,CJK-A
䋔,糹不一,,CJK-A
䋕,亻壬糸,,CJK-A
䋖,糹彐,,CJK-A
䋗,糹臣,,CJK-A
䋘,糹丰八,,CJK-A
䋙,糹耳,,CJK-A
䋚,糹习习,,CJK-A
䋛,糹米,,CJK-A
䋜,户又糸,戶又糸,CJK-A
䋝,糸⺍女,,CJK-A
䋞,糹冂乂乂,,CJK-A
䋟,糹己心,,CJK-A
䋠,糹甫,,CJK-A
䋡,糹人一木,,CJK-A
䋢,扌斤糸,,CJK-A
䋣,𠂉母糸,,CJK-A
䋤,龶糸勹丶,,CJK-A
䋥,糹里,,CJK-A
䋦,糹𠂉母,,CJK-A
䋧,糹尸古,,CJK-A
䋨,糹立口,,CJK-A
䋩,糹臼儿,,CJK-A
䋪,糹阝丁口,,CJK-A
䋫,糹⺈彐亅,糹爫彐亅,CJK-A
䋬,糹一大丶,,CJK-A
䋭,糹亠厶月,糹七丶月,CJK-A
䋮,糹金,,CJK-A
䋯,户戈糸,戶戈糸,CJK-A
䋰,八糸,,CJK-A
䋱,糹來,,CJK-A
䋲,糹口电,,CJK-A
䋳,糹丬匕月,糹丬匕⺼,CJK-A
䋴,糹予丿木,,CJK-A
䋵,糹日勹乚,,CJK-A
䋶,糹頁,,CJK-A
䋷,予丿夊糸,,CJK-A
䋸,糹⺁十目,,CJK-A
䋹,糹一口田,,CJK-A
䋺,糹禾火,,CJK-A
䋻,糹十冂,,CJK-A
䋼,糹乃又皿,,CJK-A
䋽,糹土土寸,,CJK-A
䋾,糹大夕夕,,CJK-A
䋿,糹田,,CJK-A
䌀,糹禾⺀十,,CJK-A
䌁,糹覀女,,CJK-A
䌂,糹尸至,,CJK-A
䌃,糹⺌月刂,糹⺌⺼刂,CJK-A
䌄,糹一冂又,,CJK-A
䌅,糹广肀口,,CJK-A
䌆,糹鬼,,CJK-A
䌇,糹十冖糸,,CJK-A
䌈,糹日习习,糹冂二习,CJK-A
䌉,糹罒一止,,CJK-A
䌊,糹爫缶,糹缶,CJK-A
䌋,糹艹合,,CJK-A
䌌,糹习习白,,CJK-A
䌍,糹革二,,CJK-A
䌎,田夊口糸,,CJK-A
䌏,糹宀心山,,CJK-A
䌐,糹爫見,,CJK-A
䌑,糹臣又土,,CJK-A
䌒,糹鹿,,CJK-A
䌓,𠂉母殳糸,,CJK-A
䌔,糹匚口口,,CJK-A
䌕,糹麻,糸麻,CJK-A
䌖,糹隹木,,CJK-A
䌗,糹𠂉卌灬,,CJK-A
䌘,丷巾八糸,,CJK-A
䌙,糹龷由八,糹卄二八,CJK-A
䌚,糹覀米,,CJK-A
䌛,言丿糸,,CJK-A
䌜,糹业羊八,,CJK-A
䌝,糹木木示,,CJK-A
䌞,糹僉,,CJK-A
䌟,糹尸口辛,,CJK-A
䌠,戊一口糸,,CJK-A
䌡,糹曲一䒑,,CJK-A
䌢,糹雨人マ,,CJK-A
䌣,糹⺮宀コ,,CJK-A
䌤,糹一八乂,,CJK-A
䌥,糹爫工心,,CJK-A
䌦,糹习习隹,,CJK-A
䌧,糹士乛寸,,CJK-A
䌨,糹艹示,,CJK-A
䌩,糹艹罒丶,糹卝罒丶,CJK-A
䌪,糹門⺈臼,,CJK-A
䌫,糹臣見,糹臣𠂉見,CJK-A
䌬,糹立月,糹立⺼,CJK-A
䌭,糹艹隹灬,,CJK-A
䌮,糹雨木目,,CJK-A
䌯,糹艹口隹,糹卝口隹,CJK-A
䌰,糹耳耳耳,,CJK-A
䌱,糹立,,CJK-A
䌲,糹艹千黑,,CJK-A
䌳,糹一八丶,,CJK-A
䌴,糹羊,,CJK-A
䌵,糹尸水虫,,CJK-A
䌶,纟丿,,CJK-A
䌷,纟由,,CJK-A
䌸,纟二㇉丶,,CJK-A
䌹,纟冂口,,CJK-A
䌺,纟耳,,CJK-A
䌻,纟习习,,CJK-A
䌼,纟丷口儿,,CJK-A
䌽,纟爫木,,CJK-A
䌾,纟十冂,,CJK-A
䌿,纟一口田,,CJK-A
䍀,纟〢皿,,CJK-A
䍁,纟䒑辶,,CJK-A
䍂,缶一,,CJK-A
䍃,爫缶,缶,CJK-A
䍄,缶⺊口,,CJK-A
䍅,缶人丶マ,缶人一マ,CJK-A
䍆,缶宀丁,,CJK-A
䍇,缶丿之,,CJK-A
䍈,缶干丷,,CJK-A
䍉,缶口八,,CJK-A
䍊,缶亠八乂,,CJK-A
䍋,缶千龷一,缶千艹二,CJK-A
䍌,缶立口,,CJK-A
䍍,一缶,,CJK-A
䍎,缶艹灬,,CJK-A
䍏,冂〢一,,CJK-A
䍐,罒干,,CJK-A
䍑,冂乂乂干,,CJK-A
䍒,罒木,,CJK-A
䍓,罒牙,,CJK-A
䍔,罒厶,,CJK-A
䍕,罒七丶,罒七一,CJK-A
䍖,罒勹巳,,CJK-A
䍗,罒亠幺,,CJK-A
䍘,罒米,,CJK-A
䍙,罒𠂉母,冂乂乂母,CJK-A
䍚,罒丶艮,,CJK-A
䍛,罒囗古,,CJK-A
䍜,罒隹,,CJK-A
䍝,罒水日,,CJK-A
䍞,冂乂乂一,,CJK-A
䍟,罒乂凵夊,,CJK-A
䍠,罒文凵厶,,CJK-A
䍡,罒鹿,,CJK-A
䍢,罒𠂉卌灬,,CJK-A
䍣,罒雨田,,CJK-A
䍤,罒亠丷二,,CJK-A
䍥,罒厂禾止,,CJK-A
䍦,罒文凵隹,,CJK-A
䍧,牛羊,,CJK-A
䍨,羊一巾,,CJK-A
䍩,羊夊,,CJK-A
䍪,羊末,,CJK-A
䍫,羊宀匕,,CJK-A
䍬,羊干丷,,CJK-A
䍭,羊母,,CJK-A
䍮,羊儿冫,,CJK-A
䍯,羊⺈厂㔾,,CJK-A
䍰,羊囗大,,CJK-A
䍱,羊人一木,,CJK-A
䍲,羊臼儿,,CJK-A
䍳,羊又又又,,CJK-A
䍴,羊禾女,,CJK-A
䍵,羊⺈彐亅,羊爫彐亅,CJK-A
䍶,羊木日,,CJK-A
䍷,羊口ヰ,,CJK-A
䍸,羊甫寸,,CJK-A
䍹,羊自犬,,CJK-A
䍺,羊口口心,,CJK-A
䍻,羊巳巳八,,CJK-A
䍼,羊匚儿日,,CJK-A
䍽,羊厂禾止,,CJK-A
䍾,一廾习习,,CJK-A
䍿,习习王,,CJK-A
䎀,习习戈乚,,CJK-A
䎁,古习习,,CJK-A
䎂,习习勹巳,,CJK-A
䎃,冂土习习,,CJK-A
䎄,刀口习习,,CJK-A
䎅,白习习,,CJK-A
䎆,习习人マ,,CJK-A
䎇,舟习习,,CJK-A
䎈,习习电丿,,CJK-A
䎉,习习戊一,,CJK-A
䎊,夊口习习,,CJK-A
䎋,⺧口习习,,CJK-A
䎌,习习足,,CJK-A
䎍,习习甫,,CJK-A
䎎,习习耳乚,,CJK-A
䎏,人丶乛习,人一乛习,CJK-A
䎐,十早习习,,CJK-A
䎑,习习彐水,习习彑水,CJK-A
䎒,习习戈戈,,CJK-A
䎓,习习水日,,CJK-A
䎔,习习甫寸,,CJK-A
䎕,火火冖习,,CJK-A
䎖,丷日习,,CJK-A
䎗,夭口冂习,,CJK-A
䎘,肀片爿习,,CJK-A
䎙,宀一习,,CJK-A
䎚,习习丰心,,CJK-A
䎛,耂匕口,,CJK-A
䎜,耂匕耂匕,,CJK-A
䎝,耂匕习习,,CJK-A
䎞,耂日乛,,CJK-A
䎟,女而,,CJK-A
䎠,九丶而,,CJK-A
䎡,而火,,CJK-A
䎢,丰八𠂉乙,,CJK-A
䎣,丰八乚人,,CJK-A
䎤,丰八尸口,,CJK-A
䎥,丰八八口,,CJK-A
䎦,丰八火火,,CJK-A
䎧,丰八立口,,CJK-A
䎨,丰八大电,,CJK-A
䎩,丰八巛田,,CJK-A
䎪,丰八日寸,,CJK-A
䎫,丰八乂夊,,CJK-A
䎬,丰八罒厶,,CJK-A
䎭,丰八⺧辶,,CJK-A
䎮,丰八亠古,,CJK-A
䎯,丰八卄夫,,CJK-A
䎰,丰八龷斤,,CJK-A
䎱,丰八罒匕,,CJK-A
䎲,耳乙,,CJK-A
䎳,耳月,,CJK-A
䎴,耳二,,CJK-A
䎵,耳心丿,,CJK-A
䎶,耳申,,CJK-A
䎷,耳牛八,,CJK-A
䎸,耳一口,,CJK-A
䎹,丿米耳,,CJK-A
䎺,耳牛冂刂,,CJK-A
䎻,耳土口,,CJK-A
䎼,耳彐水,耳彑水,CJK-A
䎽,耳七日,,CJK-A
䎾,耳人一冊,,CJK-A
䎿,耳禾火,,CJK-A
䏀,耳木口刂,,CJK-A
䏁,耳宀辛,,CJK-A
䏂,耳臼丨又,耳丨又,CJK-A
䏃,耳冖日八,,CJK-A
䏄,耳穴至,,CJK-A
䏅,耳示,,CJK-A
䏆,耳日,,CJK-A
䏇,耳覀示,,CJK-A
䏈,耳糹糸,,CJK-A
䏉,耳日幺灬,,CJK-A
䏊,耳立月,耳立⺼,CJK-A
䏋,肀八心巳,,CJK-A
䏌,八月,八⺼,CJK-A
䏍,厶月,厶⺼,CJK-A
䏎,月几丶,⺼几丶,CJK-A
䏏,月一,⺼一,CJK-A
䏐,月ユ人,⺼ユ人,CJK-A
䏑,冂人人,,CJK-A
䏒,月片,⺼片,CJK-A
䏓,⺼一兀,,CJK-A
䏔,月丑,⺼丑,CJK-A
䏕,月壬,⺼壬,CJK-A
䏖,月弓丨,⺼弓丨,CJK-A
䏗,月气,⺼气,CJK-A
䏘,月匚儿,⺼匚儿,CJK-A
䏙,月冖儿,⺼冖儿,CJK-A
䏚,月小丿,⺼小丿,CJK-A
䏛,月勹冫,⺼勹二,CJK-A
䏜,月乃乀,⺼丿乛又,CJK-A
䏝,月二㇉丶,,CJK-A
䏞,月末,⺼未,CJK-A
䏟,月心丿,⺼心丿,CJK-A
䏠,月立,⺼立,CJK-A
䏡,月示,⺼示,CJK-A
䏢,月皮,⺼皮,CJK-A
䏣,月且,⺼且,CJK-A
䏤,月㇆一口,⺼㇆一口,CJK-A
䏥,月冂土,⺼冂土,CJK-A
䏦,月舌,⺼舌,CJK-A
䏧,月夕夕,⺼夕夕,CJK-A
䏨,月𠂤,⺼𠂤,CJK-A
䏩,月合,⺼合,CJK-A
䏪,月耳,⺼耳,CJK-A
