char,parts,colors
条,3 4,
青,4 4,
界,5 2 2,
司,1 1 3,
整,1 3 3 4 5,1 2 1 3 4
欢,2 4,
字,3 3,
晚,4 2 3 2,
民,3 2,
帮,4 2 3,
切,2 2 ,
即,3 2 2,
忙,3 3,
交,2 2 2,
或,1 3 1 3,1 2 3 1
暗,4 5 4,
夫,4,
员,3 4,
根,4 7,
石,5,
哈,3 6,
夜,2 2 3 1,
父,2 2,
制,3 2 1 2,1 2 1 3
友,2 2,
阿,2 1 3 1,1 2 3 2
息,6 4,
冲,2 3 1,
酒,3 7,
保,2 3 4,
片,4,
形,1 3 3,
阵,2 4,
南,2 2 5,
决,2 2 2,
请,2 4 4,
各,3 3,
报,3 2 2,
兴,4 2,
阳,2 5,
急,2 3 4,
语,2 1 3 3,
令,2 1 2,
错,5 4 4,
及,2 1,
刘,4 2,
极,4 2 1,
识,2 3 2,
备,3 5,
慢,3 4 5 2,
雪,8 3,
苦,3 5,
若,3 2 3,
领,2 1 2 6,
收,2 4,
底,3 2 2 1,
尽,3 1 2,
准,2 8,
华,2 2 2,
答,6 6,
众,2 2 2,
千,3,
消,3 3 4,
视,4 4,
罗,5 3,
敢,1 6 4,
留,5 5,
克,5 2,
乐,2 3,
够,2 3 3 3,
跑,7 2 3,
显,4 5,
嘴,3 4 2 2 5,
官,3 3 2,
断,6 1 4,
未,5,
势,3 2 1 2,
句,2 3,
求,1 5 1,
计,2 2,
论,2 2 2,
达,3 3,
则,4 2,
害,3 4 3,
八,2,
单,2 4 2,
久,2 1,
脚,4 3 2 2,
德,3 2 5 1 4,
元,1 3,
脑,4 4 2,
楚,4 4 1 4,
雨,8,
睛,5 4 4,
响,3 3 3,
刀,2,
确,5 2 5,
玉,4 1,
沉,3 2 2,
北,3 2,
格,4 3 3,
停,2 7 2,
陈,2 2 3,
市,2 3,
朝,2 6 4,
喝,3 4 2 2 1,
族,4 2 5,
江,3 3,
团,2 2 1 1,1 2 3 1
母,5,
章,5 6,
装,3 3 2 4,
亮,7 2,
客,3 3 3,
照,5 2 3 4,
乱,6 1,
易,4 2 2,
足,7,
依,2 2 4,
黄,4 5 2,
修,2 1 3 3,
破,5 5,
台,2 3,
球,4 1 5 1,
呀,3 4,
院,2 3 1 3,
送,3 3 3,
包,2 3,
义,1 2,
诉,2 4 1,
攻,3 4,
丝,2 2 1,
围,,
玩,4 1 3,
待,,
复,2 4 3,
况,2 3 2,
楼,,
丽,1 3 3,
痛,,
梦,,
呼,,
摇,,
期,8 4,
英,3 2 3,
低,,
帝,2 2 2 3,
兄,3 2,
背,,
持,3 3 3,
爷,2 2 2,
皇,,
七,2,
六,2 2,
穿,5 4,
杨,,
政,5 4,
运,,
居,,
叶,,
热,,
校,4 2 2 2,
谢,,
曾,2 6 4,
古,5,
细,,
产,,
睡,,
希,,
速,1 3 3 3,1 2 1 3
室,3 6,
旁,2 2 2 4,
另,3 2,
怀,,
露,,
异,,
写,,
鬼,,
娘,,
取,6 2,
式,1 3 2,1 2 1
除,2 2 1 4,
级,,
考,4 2,
建,3 3 2,
愿,,
招,,
饭,,
布,2 3,
续,,
程,5 3 4,
首,3 6,
观,2 4,
朋,4 4,
务,,
掉,,
赶,,
忽,,
注,3 1 4,
术,,
甚,,
差,,
呵,,
展,3 4 3,
争,,
品,3 3 3,
兰,,
宝,,
香,5 4,
斗,,
故,5 4,
雷,,
念,2 1 1 4,
段,,
顿,1 2 1 6,1 2 1 3
角,2 5,
疑,,
护,,
闪,,
木,,
需,,
调,2 2 3 3,
类,,
妹,,
爸,2 2 4,
线,,
左,,
游,3 4 2 3,
派,,
谈,,
激,,
冰,,
敌,,
跳,,
支,,
约,,
巴,,
您,,
顾,2 2 6,
肯,4 4,
醒,,
铁,,
抱,,
淡,,
造,4 3 3,
伙,,
资,,
群,3 1 3 6,
集,8 4,
联,,
商,2 2 2 2 3,
号,,
节,,
讲,,
掌,8 4,
赵,,
密,,
九,2,
病,5 1 2 2,
卫,,
米,,
威,,
继,,
渐,,
统,,
追,,
亚,,
简,,
练,,
基,8 3,
选,,
推,3 8,
改,3 4,
退,,
味,,
份,,
举,,
示,5,
忍,,
历,,
器,3 3 4 3 3,
恐,,
引,3 1,
试,,
皮,,
习,,
靠,,
导,,
存,,
莫,3 4 3,
志,,
区,,
汉,,
右,,
严,,
态,,
买,,
幸,3 5,
社,4 3,
佛,,
议,,
树,,
止,,
块,,
守,,
毛,,
挥,,
胡,5 4,
散,,
板,,
仅,,
隐,,
怒,,
床,,
苏,,
料,,
股,,
局,,
班,,
图,,
岁,,
礼,,
独,,
初,,
福,,
顺,3 6,
狂,,
默,,
巨,,
既,,
松,,
证,2 5,
烈,,
否,,
恶,,
治,3 2 3,
缓,,
排,3 8,
费,,
拍,,
耳,,
医,,
寒,,
哭,,
温,,
府,3 2 3,
担,,
称,,
余,,
钟,,
泪,,
烟,,
仍,,
具,,
忘,,
恩,,
毕,,
警,,
蓝,,
宫,,
吸,,
陆,,
究,5 2,
抓,,
压,2 3 1,
沙,,
救,,
呆,,
河,3 1 3 1,1 2 3 2
迷,,
枪,,
组,,
权,,
叹,,
孙,,
卷,,
查,,
毫,,
春,,
察,3 6 5,
圣,,
草,3 6,
较,,
胜,,
遇,,
充,,
史,3 2,
堂,8 3,
防,2 4,
据,,
猛,,
骑,,
土,3,
卡,,
助,5 2,
京,5 3,
银,,
贵,,
永,1 4,
质,,
屋,,
须,3 6,
副,,
换,,
刺,,
属,,
闻,,
境,3 5 4 2,
禁,,
阴,,
共,4 2,
负,,
弄,,
翻,,
虎,,
层,,
喊,,
逃,,
晓,,
座,,
雅,,
参,,
射,,
婚,,
险,,
君,,
划,,
坚,,
价,,
柔,,
超,,
扬,,
科,5 2 2,
按,,
狠,,
野,,
秦,5 5,
秘,,
熟,,
置,,
仙,,
模,,
伸,,
波,,
肉,,
假,2 3 2 2 2,
齐,,
舞,2 5 1 3 3,
脱,,
广,,
姑,,
麻,,
投,3 4,
顶,2 6,
致,,
责,,
景,4 5 3,
营,,
维,,
设,2 4,
坏,,
啦,,
秀,,
败,,
眉,,
州,,
药,,
承,,
案,,
狼,,
专,,
偷,,
画,,
吴,,
店,,
哦,,
弹,,
食,9,
欲,,
抬,,
标,,
秋,,
厉,,
良,,
际,,
状,,
烦,4 6,
午,,
摆,,
戏,,
桌,,
船,,
短,,
村,,
某,,
摸,,
付,,
演,3 3 1 5 2,
规,,
萧,,
封,,
握,,
田,,
唐,3 4 3,
藏,,
震,,
混,,
虚,,
透,,
纪,,
凌,,
休,,
嘛,,
梅,,
紫,,
歌,,
临,,
毒,,
宗,,
著,3 4 4,
索,,
印,2 1 2,
寻,,
湖,,
劲,,
职,,
技,3 2 2,
恨,,
婆,,
杰,,
羽,,
咱,,
素,,
凡,2 1,
值,,
飘,,
养,,
嘿,,
普,,
宁,,
吓,,
兽,,
夏,,
读,,
街,,
牛,,
仿,,
胸,,
浪,,
富,,
尚,8,
宇,3 1 3,
骨,,
智,,
纷,,
升,,
叔,,
善,,
弱,,
架,,
卖,,
袋,,
网,,
朱,,
骂,,
雄,2 2 8,
赛,,
略,5 3 3,
杯,,
施,4 2 3,
墙,,
环,,
罪,,
牙,,
窗,,
柳,,
厅,,
搞,,
端,,
洞,,
适,,
拥,,
释,,
洋,,
肩,,
魂,,
闹,,
蒙,,
洗,,
灯,,
借,2 4 4,
伯,,
免,,
菜,,
验,,
凤,,
鱼,,
徐,,
型,1 3 2 3,
娜,,
暴,,
亡,3,
讨,,
辈,,
懂,,
腿,,
灭,,
妙,,
效,,
危,,
优,,
盘,,
套,,
丁,,
趣,,
妖,,
束,,
杂,,
诗,,
迎,,
舍,,
旧,,
彩,,
委,,
挂,,
笔,,
狗,,
鲜,,
纸,,
抗,,
探,,
韩,,
尼,,
控,,
惜,,
珠,,
抽,,
创,,
归,,
挺,,
奋,,
陪,,
硬,,
避,,
园,,
托,,
训,,
勇,,
聊,,
奶,,
庄,,
奔,,
镇,,
拳,,
采,,
研,5 1 3,
配,7 3,
介,,
尊,,
冒,,
虑,,
敬,3 2 3 4,
丹,,
舒,,
蛋,,
哼,,
宋,,
济,,
妇,,
箭,,
择,,
犯,,
欣,,
甲,,
欧,,
课,,
扑,,
菲,,
燕,,
曲,6,
躲,,
玄,,
幻,,
茶,,
折,,
伊,,
傻,,
姓,3 5,
源,,
洛,,
遍,,
臣,6,
弃,,
犹,,
占,,
漂,,
挑,,
获,,
绿,,
峰,,
俊,,
疯,,
列,1 3 2,
森,,
妻,,
恋,,
误,,
拜,,
伟,,
移,,
纳,,
党,,
罢,,
腰,,
巧,,
孤,,
闭,,
圆,,
碰,,
镜,,
软,,
厚,,
累,,
昨,,
幽,,
悲,,
丈,2 1,
牌,,
降,,
颜,5 1 3 6,
劳,,
偏,,
省,4 5,
糊,,
馆,,
烧,,
谓,,
财,,
舰,,
汗,,
奈,,
操,,
迹,,
尸,,
悄,,
残,,
尖,,
鲁,,
锋,,
圈,,
油,,
俩,,
项,3 6,
撞,,
瞬,,
忆,,
盖,,
尤,,
徒,3 7,
乡,,
概,,
户,,
荡,,
艺,,
增,,
祖,,
困,,
殿,,
迅,,
横,,
范,,
律,3 3 3,
番,,
企,2 4,
惨,,
限,,
聚,,
含,,
凭,,
剧,,
碎,,
躺,,
缘,,
凉,,
腾,,
织,,
抢,,
预,4 6,
沈,,
替,,
孔,3 1,
批,,
康,,
惑,,
唯,,
率,,
惯,,
登,,
互,,
盯,,
稍,,
宣,3 1 4 1,
唱,,
诚,,
剩,,
咬,,
育,2 2 4,
诸,,
触,,
晨,,
策,,
疼,,
漫,,
材,,
补,,
私,5 2,
吐,,
纯,,
艾,,
贝,,
谷,,
庭,3 4 2,
挡,,
晃,,
吉,,
吹,,
仔,,
仇,,
凝,,
鼓,9 2 2,
农,,
席,,
征,3 5,
帅,,
附,,
缺,6 2 2,
塞,,
豪,,
亦,6,
杜,4 3,
努,,
判,,
谋,,
胆,,
尘,,
扎,,
滚,,
闷,,
迟,,
稳,,
翼,,
诺,,
闲,,
灰,,
朵,,
盛,,
梁,,
晶,,
餐,,
爆,,
伦,,
娇,,
侧,,
愣,,
鼻,,
轮,,
昏,,
抖,,
陷,,
敏,,
词,,
慌,,
愤,,
怜,,
颤,,
阶,,
苍,,
距,,
郑,,
川,,
扫,,
逼,,
县,,
忧,,
童,5 7,
执,,
丢,,
荣,,
臂,,
逐,,
傲,,
戴,,
芒,,
庆,,
伴,,
袭,,
供,,
积,,
测,,
遥,,
阻,,
例,,
睁,,
岛,,
遗,,
瞪,,
慕,,
皱,,
博,2 7 3,
幕,,
猜,,
益,,
净,,
泽,,
炼,,
监,,
鸡,,
珍,,
伏,,
绍,,
曹,7 4,
爬,,
丫,,
炸,,
壁,3 3 7 3,
涌,,
凶,,
郎,,
宿,,
怨,,
醉,,
拼,,
迫,,
革,,
瞧,,
奥,,
输,,
莉,,
忠,,
颗,4 4 6,
嗯,,
佳,,
旅,,
仁,,
鸟,,
骗,,
浩,3 4 3,
塔,,
胖,,
绪,,
枫,,
拔,,
赞,,
炮,,
傅,,
凯,,
邪,,
芳,,
浑,,
夺,,
宽,,
堆,,
裂,,
遭,7 4 3,
赤,,
旋,,
扭,,
洁,,
浮,,
悉,,
擦,,
慧,,
典,,
赏,,
匆,,
评,,
纵,,
莲,,
雾,,
乌,,
跃,,
壮,,
贴,,
丰,,
隔,,
健,,
辛,,
抵,,
竹,,
彻,,
摩,,
轰,,
编,,
肚,,
插,,
磨,11 5,
哎,,
御,3 2 1 4 2,
耐,,
惧,,
氏,2 2,
辉,,
扶,,
恢,,
貌,,
额,,
述,,
票,,
录,,
拖,,
膀,,
鹰,,
孟,,
递,,
瑞,,
唇,,
暂,,
货,,
琴,,
踪,,
码,,
慰,,
蛇,,
玲,,
晕,,
损,,
轩,,
粗,,
掩,,
屁,,
悠,,
仰,,
零,,
盟,,
途,,
贼,,
洪,,
悟,,
固,,
讶,,
冬,,
滑,,
甜,,
郁,,
琳,,
辆,,
乃,2,
猪,,
暖,,
妮,,
挣,,
旦,4 1,
估,,
坦,,
甘,,
佩,,
莱,,
享,,
吼,,
构,,
粉,,
萨,,
吻,,
潜,,
瓶,,
偶,,
戒,,
浓,,
毁,,
销,,
迪,,
拒,,
绕,,
勒,,
朗,,
嘻,,
尾,,
帐,,
废,,
延,,
敲,,
烂,,
曼,,
厌,,
宜,,
羞,,
喂,,
吟,,
滴,,
洲,,
爹,,
艳,,
晴,,
抚,,
缩,,
协,,
央,,
悔,,
肖,,
缠,,
脆,,
痕,,
伍,,
寂,,
启,,
翔,,
薄,,
侯,,
劝,,
郭,,
奴,,
鸣,,
倾,2 2 6,
彼,,
扔,,
撒,,
豫,,
检,,
针,,
耀,,
痴,,
姆,,
篇,6 4 5,
椅,,
厂,,
董,,
熊,,
埋,,
乖,,
狐,,
蒋,,
踏,,
隆,,
括,,
潮,,
唉,,
穷,,
聪,,
唤,,
泰,,
版,,
末,,
旗,,
仪,,
焦,,
猫,,
盗,,
侍,,
挤,,
款,,
拾,,
荒,,
姿,,
域,,
搭,,
脉,,
授,,
俗,2 2 2 3,
融,,
狱,,
欺,,
访,,
桥,,
锁,,
霸,,
牵,,
池,,
钻,,
港,,
喃,,
廷,4 2,
乘,,
玛,,
奉,,
扯,,
岳,,
减,,
弯,,
夹,,
辞,,
岸,,
岂,,
屈,,
恼,,
哲,,
季,,
召,,
丧,,
尝,,
恭,,
载,,
瘦,,
皆,2 2 5,
颇,,
茫,,
染,,
肃,,
爽,,
亏,,
吞,,
惹,,
哀,,
乔,,
趁,,
铺,,
脏,,
吕,,
奖,,
倍,,
汤,,
振,,
婷,,
牢,,
扰,,
溜,,
庞,,
臭,,
悦,,
赫,,
赢,,
跪,,
麦,,
枝,,
侠,,
泉,,
劫,,
炎,,
泥,,
赌,,
弓,,
魏,,
罩,,
疾,,
饰,,
符,,
垂,,
映,,
漠,,
脖,,
饮,,
沿,,
懒,,
肤,,
桑,,
堪,,
燃,,
卓,,
祝,,
赖,,
宾,,
贾,,
喘,,
焰,,
吵,,
冥,,
鞋,,
逸,,
均,,
库,,
裤,,
碗,,
航,,
踢,,
姨,,
酸,,
啸,,
龄,,
阁,,
舌,,
箱,,
冯,,
邦,,
钢,,
霞,,
促,,
泡,,
盾,,
羊,,
碧,,
援,,
忌,,
抹,,
倩,,
锐,,
喷,,
拦,,
嘉,,
袖,,
殊,,
辰,7,
繁,,
络,,
抛,,
嫁,,
咒,,
撤,,
键,,
湿,,
恰,,
虫,,
审,,
献,,
媚,,
贤,,
葛,,
刹,,
袁,,
摔,,
序,,
筑,,
斜,,
瓦,,
涂,,
湾,,
莎,,
崇,,
猎,,
刑,,
墨,,
娃,,
梯,,
桃,,
豆,,
驾,,
浅,,
径,,
饿,,
疲,,
搬,,
瓜,,
莹,,
滋,,
润,,
铃,,
蛮,,
蒂,,
拨,,
涛,,
予,4,
勾,,
惠,,
析,,
砍,,
撑,,
截,,
措,,
币,,
薇,,
愈,,
督,,
酷,,
祥,,
怖,,
侵,,
岩,,
扮,,
糟,,
盈,,
腹,,
斩,,
尺,,
签,,
稀,,
掏,,
夸,,
汽,,
液,,
姬,,
愧,,
汇,,
柱,,
粮,,
堡,,
仗,,
笨,,
奏,,
歉,,
甩,,
怔,,
允,2 2,
竞,,
祸,,
耶,,
爵,,
绩,,
诱,,
呜,,
穴,,
黎,,
租,,
培,,
砸,,
麽,,
井,,
窝,,
弥,,
返,,
匹,,
啥,,
凑,,
奸,,
陌,,
叛,,
核,,
卧,,
幅,,
眨,,
耗,,
洒,,
怡,,
详,,
卢,,
扣,,
哇,,
丑,,
勉,,
孝,,
矛,,
氛,,
衡,,
陶,,
购,,
汪,,
僵,,
疗,,
妃,,
罚,,
棋,,
缝,,
咐,,
躯,,
泛,,
愁,,
搜,,
慈,,
肥,,
笼,,
篮,,
俱,,
惟,,
柜,,
捉,,
悬,,
霍,,
泄,,
咽,,
齿,,
秒,,
勤,,
扩,,
屏,,
霜,,
袍,,
蝶,,
祭,,
厨,,
胁,,
璃,,
劈,,
赚,,
锦,,
尬,,
尴,,
熙,,
寺,,
昌,,
贺,,
巾,,
描,,
捕,,
陵,,
咳,,
扇,,
虹,,
绵,,
撕,,
蔡,,
催,,
彭,,
宠,,
贪,,
辱,,
誓,,
盒,,
寸,,
披,,
