宀,ka,Miǎn -> Ma 🈤不取聲母 ㊟俗稱寶蓋頭
穴,kxe,Xuè -> Xe
尚,ksa,Ŝàŋ -> Sa
,ksa,㊟同尚歸併
白,kba,Bái -> Ba
,kdi,Duī -> Di
至,kvi,Ẑì -> Vi 🈤Z和Ẑ作V
車,kce,Ĉē
叀,kce,
,kce,
长,kca,Ĉáŋ -> Ca
矢,ksi,Ŝǐ -> Si
缶,kfo,Fǒu -> Fo
不,lbu,Bù
八,la,Bā -> a 🈤不取聲母
冂,ljo,Jiǒŋ -> Jo
,ljo,
,ljo,
冊,lce,Cè
,lce,
曲,lqu,Qǔ
鬥,ldo,Dòu -> Do
十,li,Ŝi -> Si 🈤不取聲母
干,lga,Gān -> Ga
千,lqa,Qiān -> Qa
壬,lre,Rén -> Re
毛,lma,Máo -> Ma
古,lgu,Gǔ
舌,lse,Ŝé
户,lhu,Hù
戸,lhu,
戶,lu,Hù -> Hu 🈤不取聲母
月,le,Yuè = Ye 🈤不取聲母
,le,
,le,
夕,lxi,Xī
未,lwe,Wèi -> We
末,lmo,Mò
止,lvi,Ẑǐ -> Vi 🈤Z和Ẑ作V
龰,lvi,㊟同止歸併
齒,lci,Ĉǐ
飛,lfe,Fēi -> Fe
,mvo,Zuǒ -> Zo 🈤Z和Ẑ作V 🈑左本字
车,mce,Ĉē
牛,mnu,Niú -> Nu
⺧,mnu,㊟同牛歸併
尸,msi,Ŝī -> Si
,msi,
七,mi,Qī -> qi 🈤不取聲母
𫠠,mi,㊟同七歸併
弋,myi,Yì -> yi
戈,mge,Gē
戊,mwu,Wù
心,mxi,Xīn -> Xi
忄,mi,Xīn -> Xi 🈤不取聲母 ㊟俗稱豎心旁
方,mfa,Fāŋ -> Fa
爪,ma,Ẑuǎ -> Va 🈤Z和Ẑ作V
瓜,mga,Guā -> Ga
癶,mo,Bō 🈤不取聲母
人,ne,rén -> Re 🈤不取聲母
合,nhe,Hé
,nhe,
,nhe,
僉,na,Qiān -> Qa 🈤不取聲母
