char,division,division_tw,region
快,人,,CJK
活,舌,,CJK
公,八厶,,CJK
體,骨曲一,,CJK
啊,口丁口,,CJK
結,士口,,CJK
花,艹,艹匕,CJK
堯,土土土兀,,CJK
連,車辶,,CJK
調,言土口,,CJK
浩,口,,CJK
您,小心,,CJK
祖,且,,CJK
解,用刀牛,土牛,CJK
請,言月,,CJK
信,言,,CJK
火,火,,CJK
許,言十,,CJK
傳,寸,,CJK
它,宀匕,,CJK
表,,,CJK
寫,宀臼勹灬,,CJK
纔,口丶,,CJK
找,戈,,CJK
扇,户习习,戶习习,CJK
更,一日乂,,CJK
數,口十口攵,,CJK
母,母,,CJK
並,业,,CJK
變,言糸攵,言攵,CJK
合,合,,CJK
六,亠八,,CJK
幫,土土寸巾,,CJK
陽,日一,,CJK
該,言亥,,CJK
遠,土口辶,,CJK
題,日一頁,,CJK
非,非,,CJK
洞,冂一口,,CJK
算,竹目廾,,CJK
特,牛土寸,牛士寸,CJK
收,丩攵,,CJK
離,文凵冂隹,,CJK
斷,幺幺一斤,,CJK
送,大辶,,CJK
玉,王丶,,CJK
習,习习白,,CJK
每,母,,CJK
叫,口丩,,CJK
呢,口尸匕,,CJK
教,耂子攵,,CJK
讀,言士罒貝,,CJK
岫,山由,,CJK
八,八,,CJK
聊,耳卯,,CJK
代,弋,,CJK
功,工力,,CJK
校,木亠八乂,,CJK
低,七丶,七一,CJK
風,風,,CJK
百,丆日,,CJK
論,言人一,,CJK
物,牛勹,,CJK
件,牛,,CJK
南,十冂,,CJK
始,女厶口,,CJK
言,言,,CJK
忙,亡,,CJK
慢,日罒又,冂二又,CJK
李,木子,,CJK
輩,非車,,CJK
望,亡月王,亡壬,CJK
禮,曲一,,CJK
服,月卩又,,CJK
倒,至刂,,CJK
嘴,口止匕用,口止匕土,CJK
工,工,,CJK
空,穴工,,CJK
確,石冖隹,,CJK
死,一夕匕,,CJK
客,宀夊口,,CJK
拍,白,,CJK
雖,口虫隹,,CJK
雙,隹隹又,,CJK
錯,金日,,CJK
交,亠八乂,,CJK
提,日一,,CJK
整,木口攵正,,CJK
則,貝刂,,CJK
臺,士口冖至,,CJK
爸,八乂巴,,CJK
量,日一里,,CJK
玩,王一兀,,CJK
講,言冂土,,CJK
寒,宀八⺀,,CJK
魁,鬼⺀十,,CJK
難,艹一口隹,,CJK
初,刀,,CJK
居,尸古,,CJK
室,宀至,,CJK
世,世,,CJK
保,口木,,CJK
及,乃乀,丿又,CJK
滿,艹一入,,CJK
近,斤辶,,CJK
片,片,,CJK
菜,艹爪木,,CJK
照,日刀口灬,,CJK
續,士罒貝,,CJK
酒,酉,,CJK
且,且,,CJK
弄,王廾,,CJK
雨,雨,,CJK
參,厶厶厶彡,,CJK
任,壬,,CJK
像,口,,CJK
哪,口,,CJK
葛,艹日勹乚,,CJK
親,立朩見,,CJK
才,丿,,CJK
留,田,,CJK
條,丨夊朩,,CJK
告,口,,CJK
準,隹十,,CJK
化,,匕,CJK
盟,日月皿,,CJK
受,爪冖又,,CJK
閣,門夊口,,CJK
修,丨夊彡,丨攵彡,CJK
馬,馬,,CJK
深,冖八木,冖儿木,CJK
記,言己,,CJK
久,乀,,CJK
竟,立日儿,,CJK
計,言十,,CJK
哥,丅口丁口,,CJK
驚,艹勹口馬,,CJK
喝,口日勹乚,,CJK
萬,艹禺,,CJK
景,日小,,CJK
備,丿用,,CJK
周,土口,,CJK
原,厂白小,,CJK
睡,目千一,目千艹二,CJK
桌,日木,,CJK
趙,走⺌月,,CJK
管,竹宀尸,,CJK
流,亠厶,七丶,CJK
七,七,,CJK
隨,工辶,,CJK
美,大,,CJK
越,走戈,,CJK
韻,立日口貝,,CJK
尚,尚,,CJK
市,亠巾,,CJK
擡,士口至,,CJK
叔,上小又,,CJK
團,囗寸,,CJK
節,竹卩,,CJK
刻,亥刂,,CJK
目,目,,CJK
由,由,,CJK
米,米,,CJK
句,勹口,,CJK
楊,木日一,,CJK
館,食宀尸,,CJK
君,彐丿口,,CJK
班,王王,,CJK
側,貝刂,,CJK
息,自心,,CJK
木,木,,CJK
取,耳又,,CJK
包,勹巳,,CJK
未,未,,CJK
茶,艹人朩,,CJK
著,艹耂日,,CJK
眉,目,,CJK
媽,女馬,,CJK
品,口口口,,CJK
至,至,,CJK
泰,氺,,CJK
杯,木不,,CJK
誰,言隹,,CJK
者,耂日,,CJK
寶,宀王缶貝,,CJK
肉,冂人人,,CJK
根,木艮,,CJK
座,广人人土,,CJK
爺,八乂耳,,CJK
紅,工,,CJK
需,雨而,,CJK
傷,日,,CJK
度,广艹一又,,CJK
考,耂丂,,CJK
排,非,,CJK
容,穴人口,,CJK
式,弋工,,CJK
觀,艹口口見,,CJK
鐘,金立里,,CJK
細,田,,CJK
辦,辛力辛,,CJK
推,隹,,CJK
