font,ma,pinyin,examples
兀,rw,任务,
彐,rx,,
,rx,,
,rx,,
乂,ry,如义,
𠂭,ry,,鬱
亦,ry,容易，如意,
,ry,,变
止,rz,日子,
,rz,,是
,rz,,延
敖,sa,生熬,
赤,sc,奢侈,
長,sc,擅長，身长,
刀,sd,石刀,
彑,sh,似乎（互）,
,sh,,互
,sh,,毋
米,sm,生米,
马,sm,赛马,
人,sr,诗人，是人,
三,ss,三三,
雨,sv,酸雨（托韵）,
⻗,sv,,
心,sx,身心，收心,
弋,sy,收益,
䒑,tc,,
丰,tf,田丰,
,tf,,邦
目,tm,题目,
门,tm,铁门,
廾,tn,挑弄,
鳥,tn,鴕鳥,
,tn,,
尢,to,特优,
皮,tp,脱皮,
糹,ts,吐丝,
舌,ts,吐舌,
丑,uc,武丑,
辶,uc,uc（开口象形）,
电,ud,无电,
,ud,,電
,ud,,拽
,ud,,介
,ud,,赤
儿,ue,吾儿,
,ue,,流
,ue,,免
工,ug,误工,
艮,ug,无根,
門,um,屋門,
曲,uq,舞曲,
亻,ur,无人（u代w）,
,ur,,段
壬,ur,委任（u谐w音）,
士,us,武士,
,us,,穀
巛,vc,暗川,
巜,vc,,粼
齿,vc,鱼齿，爱齿,
夫,vf,安抚，爱抚,
革,vg,V（wei）伟哥，ven革,
火,vh,暗火（v为零声母）,
几,vj,案几,
面,vm,凹面,
龶,vq,,青
身,vs,安身（v表零声母）,
壴,vz,按住,喜嘉
早,vz,按照,章
幺,wa,（幺）娃（谐音）,幾
甫,wf,为辅,
臼,wj,乌桕，武警,
,wj,,舆
钅,wj,五金,
麻,wm,为嘛,
尤,wo,网友（托韵）,
日,wr,往日,
,wr,,临
,wr,,會
凵,wu,文物,凶
瓦,ww,屋瓦,
丅,wx,往下,
艹,xc,小草,
卄,xc,,度
卝,xc,,
,xc,,溝
,xc,,華
龷,xc,,
辰,xc,星辰,
干,xg,相干,
,xg,,
高,xg,新高,
,xg,,膏
,xg,,亭
,xg,,襄
,xg,,京
叀,xh,,
交,xj,相交,
斤,xj,相近,
见,xj,相见,
林,xl,小林,
比,yb,远比,
鼻,yb,掩鼻,
广,yg,杨广,
今,yj,已经,
見,yj,意見，遇见,
廿,yn,一年,
纟,ys,银丝,
,ys,,丝
余,yv,yü（谐音）,涂
烏,yw,義烏,
甲,zj,指甲,
金,zj,真金,
乜,zm,怎么,
木,zm,竹木,
朩,zm,,
,zm,,澠
鸟,zn,抓鸟,
禺,zv,遭遇,
