,jo,㊟同「」归并
非,jwo,Fēi  🈤映射：f->wo
车,kcu,Ĉē  🈤映射：c->cu
豕,kdo,Ŝǐ  🈤映射：s->do
,kdo,㊟同「豕」归并
,kdo,Ŝi  🈤映射：s->do
,ke,Ŝēŋ  𡆧不取声码
,ko,🈤无读音取o
羊,kgu,Yáŋ  🈤映射：y->gu
,kgu,㊟同「羊」归并
,kgu,㊟同「羊」归并
,ko,🈤无读音取o
,ki,Sī  𡆧不取声码
,ki,㊟同「」归并
且,kje,Qiě  🈤映射：q->je
,ko,🈤无读音取o
戊,kjo,Wù  🈤映射：w->jo
片,kna,Piàn  🈤映射：p->na
爿,ka,Pán  𡆧不取声码
二,kne,èr  🈤映射：零声母->ne
,kne,㊟同「二」归并
,kne,㊟同「二」归并
⺀,kne,㊟同「二」归并
,ko,🈤无读音取o
,ko,㊟同「」归并
疒,kqo,Nè  🈤映射：n->qo
目,kro,Mù  🈤映射：m->ro
不,ksi,Bù  🈤映射：b->si
立,kvi,Lì  🈤映射：l->vi
辛,kka,Xīn  🈤映射：x->ka
戈,kwi,Gē  🈤映射：g->wi
夫,kwo,Fū  🈤映射：f->wo
,kke,Dí  🈤映射：d->ke
上,la,Ŝàŋ  𡆧不取声码
丄,la,㊟同「上」归并
,la,㊟同「上」归并
示,ldo,Ŝì  🈤映射：s->do
,ldo,㊟同「示」归并
月,le,Yuè  𡆧不取声码
,le,㊟同「月」归并
七,li,Qī  𡆧不取声码
,li,㊟同「七」归并
弋,lgu,Yì  🈤映射：y->gu
亡,ljo,Wáŋ  🈤映射：w->jo
,lvi,Luó  🈤映射：l->vi
夊,lke,Ẑì  🈤映射：z->ke
攵,lke,㊟同「夊」归并
自,lke,Zì  🈤映射：z->ke
马,lro,Mǎ  🈤映射：m->ro
白,lsi,Bái  🈤映射：b->si
,lke,Duī  🈤映射：d->ke
广,lwi,Guǎŋ  🈤映射：g->wi
飛,lwo,Fēi  🈤映射：f->wo
八,ma,Bā  𡆧不取声码
三,mdo,Sān  🈤映射：s->do
人,me,rén  𡆧不取声码
页,mgu,Yè  🈤映射：y->gu
,mi,Jīn  𡆧不取声码
,mo,🈤无读音取o
,mo,㊟同「」归并
乃,mqo,Nǎi  🈤映射：n->qo
門,mro,Mén  🈤映射：m->ro
鬥,mke,Dòu  🈤映射：d->ke
力,mvi,Lì  🈤映射：l->vi
艮,mwi,Gěn  🈤映射：g->wi
,mwi,㊟同「艮」归并
方,mwo,Fāŋ  🈤映射：f->wo
勹,na,Bāo  𡆧不取声码
,na,㊟同「勹」归并
,na,㊟同「勹」归并
冊,ncu,Cè  🈤映射：c->cu
,ncu,㊟同「冊」归并
尸,ndo,Ŝī  🈤映射：s->do
,ndo,㊟同「尸」归并
,ndo,㊟同「尸」归并
雨,ngu,Yǔ  🈤映射：y->gu
火,no,Huǒ  𡆧不取声码
灬,nsi,Biāo  🈤映射：b->si
米,nro,Mǐ  🈤映射：m->ro
竹,nu,Ẑú  𡆧不取声码
,no,🈤无读音取o
,no,㊟同「」归并
臼,nu,Jìù  𡆧不取声码
,nu,㊟同「臼」归并
鹿,nvi,Lù  🈤映射：l->vi
,nvi,㊟同「鹿」归并
古,nwi,Gǔ  🈤映射：g->wi
又,pe,Yòu  𡆧不取声码  ㊟韵码取「e」
由,pgu,Yóu  🈤映射：y->gu
申,pdo,Ŝēn  🈤映射：s->do
电,pa,Diàn  𡆧不取声码
艹,pi,㊟同「卌」归并
廾,pi,㊟同「卌」归并
卅,pi,㊟同「卌」归并
卌,pi,Xì  𡆧不取声码
,pi,㊟同「卌」归并
,pi,㊟同「卌」归并
,pi,㊟同「卌」归并
瓦,pjo,Wǎ  🈤映射：w->jo
見,pne,Jiàn  🈤映射：j->ne
干,pwi,Gān  🈤映射：g->wi
臣,qe,Ĉén  𡆧不取声码
,qi,Yí  𡆧不取声码
,qi,㊟同「」归并
幺,qgu,Yāo  🈤映射：y->gu
厶,qi,Sī  𡆧不取声码
金,qi,Jīn  𡆧不取声码
,qje,Kuà  🈤映射：k->je
,qje,㊟同「」归并
向,qka,Xiàŋ  🈤映射：x->ka
,qo,🈤无读音取o
,qo,㊟同「」归并
黑,qla,Hēi  🈤映射：h->la
巾,qne,Jīn  🈤映射：j->ne
皿,qro,Mǐn  🈤映射：m->ro
罒,qjo,Wǎŋ  🈤映射：w->jo
甫,qu,Fǔ  𡆧不取声码
頁,rgu,Yè  🈤映射：y->gu
丨,ri,Yī  𡆧不取声码
〢,ri,㊟同「丨」归并
〣,ri,㊟同「丨」归并
其,rje,Qí  🈤映射：q->je
虎,rla,Hǔ  🈤映射：h->la
虍,rla,㊟同「虎」归并
,rla,㊟同「虎」归并
而,rne,ér  🈤映射：零声母->ne
面,rro,Miàn  🈤映射：m->ro
土,ru,Tǔ  𡆧不取声码
士,ri,Ŝì  𡆧不取声码
缶,rwo,Fǒu  🈤映射：f->wo
丑,scu,Ĉǒu  🈤映射：c->cu
,sjo,Wǔ  🈤映射：w->jo
手,sdo,Ŝǒu  🈤映射：s->do
,so,🈤无读音取o
亦,sgu,Yì  🈤映射：y->gu
,sgu,㊟同「亦」归并
习,si,Xí  𡆧不取声码
舟,ske,Ẑōu  🈤映射：z->ke
皮,sna,Pí  🈤映射：p->na
彑,sne,Jì  🈤映射：j->ne
,so,🈤无读音取o
耳,sne,ěr  🈤映射：零声母->ne
口,so,Kǒu  𡆧不取声码
〇,so,㊟同「口」归并
卯,sro,Mǎo  🈤映射：m->ro
,sro,㊟同「卯」归并
,so,🈤无读音取o
,so,㊟同「」归并
,so,㊟同「」归并
,so,㊟同「」归并
骨,swi,Gǔ  🈤映射：g->wi
咼,sa,Guǎ  𡆧不取声码
,sa,㊟同「咼」归并
,tgu,Yī  🈤映射：y->gu
糸,ti,Sī  𡆧不取声码
,ti,㊟同「糸」归并
欠,tje,Qiān  🈤映射：q->je
囗,tjo,Wéi  🈤映射：w->jo
足,tke,Zú  🈤映射：z->ke
合,tla,Hé  🈤映射：h->la
,tla,㊟同「合」归并
,tla,㊟同「合」归并
僉,ta,Qiān  𡆧不取声码
彐,tne,Jì  🈤映射：j->ne
,tne,㊟同「」归并
肀,tne,㊟同「」归并
隶,ti,Lì  𡆧不取声码
,to,🈤无读音取o
,to,㊟同「」归并
,to,㊟同「」归并
,to,🈤无读音取o
,tu,Fǔ  𡆧不取声码
匚,two,Fāŋ  🈤映射：f->wo
,two,㊟同「匚」归并
巴,va,Bā  𡆧不取声码
長,vcu,Ĉáŋ  🈤映射：c->cu
镸,vcu,㊟同「長」归并
髟,vsi,Biāo  🈤映射：b->si
身,vdo,Ŝēn  🈤映射：s->do
夭,vgu,yāo  🈤映射：y->gu
之,vi,Ẑī  𡆧不取声码
,vke,Zuǒ  🈤映射：z->ke
走,vke,Zǒu  🈤映射：z->ke
戶,vla,Hù  🈤映射：h->la
田,vme,Tián  🈤映射：t->me
斤,vne,Jīn  🈤映射：j->ne
,vo,🈤无读音取o
辶,vo,Ĉuò  𡆧不取声码
⻍,vo,㊟同「辶」归并
木,vu,Mù  𡆧不取声码
朩,vu,㊟同「木」归并
來,vvi,Lái  🈤映射：l->vi
犬,wa,Quǎn  𡆧不取声码
,we,Rén  𡆧不取声码
业,wgu,Yè  🈤映射：y->gu
曲,wje,Qǔ  🈤映射：q->je
,wo,🈤无读音取o
,wje,Quǎn  🈤映射：q->je
大,wke,Dà  🈤映射：d->ke
几,wne,Jǐ  🈤映射：j->ne
殳,wu,Ŝǔ  𡆧不取声码
風,wwo,Fēŋ  🈤映射：f->wo
毛,wro,Máo  🈤映射：m->ro
矢,xdo,Ŝǐ  🈤映射：s->do
禺,xgu,Yǔ  🈤映射：y->gu
魚,xgu,Yú  🈤映射：y->gu
十,xi,十  拼音：Ŝi  𡆧不取声码
彳,xi,Ĉì  𡆧不取声码
,xo,🈤无读音取o
亍,xcu,Ĉù  🈤映射：c->cu
千,xje,Qiān  🈤映射：q->je
,xje,㊟同「千」归并
穴,xka,Xuè  🈤映射：x->ka
宀,xa,Miǎn  𡆧不取声码
冂,xne,Jiǒŋ  🈤映射：j->ne
,xne,㊟同「冂」归并
,xne,㊟同「冂」归并
甲,xne,Jiā  🈤映射：j->ne
工,xo,Gōŋ  𡆧不取声码
鳥,xqo,Niǎo  🈤映射：n->qo
,xqo,㊟同「鳥」归并
烏,xjo,Wū  🈤映射：w->jo
,xjo,㊟同「烏」归并
里,xvi,Lǐ  🈤映射：l->vi
凵,ya,Kǎn  𡆧不取声码
丩,yu,Jiū  𡆧不取声码
,yu,㊟同「丩」归并
屮,ycu,Cǎo  🈤映射：c->cu
丱,ywi,Guān  🈤映射：g->wi
言,ya,Yán  𡆧不取声码
川,ycu,Ĉuān  🈤映射：c->cu
巛,ycu,㊟同「川」归并
巜,ycu,㊟同「川」归并
山,ydo,Ŝān  🈤映射：s->do
生,ye,Ŝēŋ  𡆧不取声码
尤,ygu,Yóu  🈤映射：y->gu
尢,yo,Yóu  𡆧不取声码
,yi,Yì  𡆧不取声码
廴,yi,Yín  𡆧不取声码
西,yi,Xī  𡆧不取声码
酉,jgu,Yǒu  🈤映射：y->gu
亠,yo,Tóu  𡆧不取声码
鸟,yqo,Niǎo  🈤映射：n->qo
,yqo,㊟同「鸟」归并
乌,yjo,Wū  🈤映射：w->jo
麻,yro,Má  🈤映射：m->ro
貝,ysi,Bèi  🈤映射：b->si
耂,yvi,Lǎo  🈤映射：l->vi
