日,hri,Rì,這幾個字根都有「日」的特徵
,hri,㊟同日歸併,這幾個字根都有「日」的特徵
,hri,㊟同日歸併,這幾個字根都有「日」的特徵
曰,hye,Yuē -> Ye ㊟多根字中除汩抇曶都拆作日,這幾個字根都有「日」的特徵
示,hsi,Ŝì -> Si,示類
,hsi,Ŝì -> Si ㊟俗稱示字旁,示類
走,hvo,Zǒu -> Zo 🈤Z和Ẑ作V,走類
身,hse,Ŝēn -> Se,這幾個字根都有「長」的特徵
,hi,Jīn -> i 🈤不取聲母 ㊟俗稱金字旁 ㊟對應繁體在C鍵,钅類
長,hca,Ĉáŋ -> Ca ㊟對應繁體在K鍵,這幾個字根都有「長」的特徵
镸,hca,Ĉáŋ -> Ca,這幾個字根都有「長」的特徵
髟,hba,Biāo -> Ba,這幾個字根都有「長」的特徵
隹,hi,Ẑuī -> i 🈤不取聲母 🈕Cuī Wéi,隹類
三,jsa,Sān -> Sa,這幾個字根都有「三」的特徵
生,je,Ŝēŋ -> e 🈤不取聲母,這幾個字根都有「三」的特徵
亠,jo,Tóu -> o 🈤不取聲母 ㊟俗稱京字頭,亠類
,je,Rén -> e 🈤不取聲母 ㊟俗稱單人旁,亻類
入,jru,Rù,入類
,jsi,Ŝi -> Si ㊟對應繁體在N鍵,饣類
風,jfe,Fēŋ -> Fe,風類
凵,ja,Kǎn -> a 🈤不取聲母,這幾個字根都有「丩」的特徵
丩,ju,Jiū -> u 🈤不取聲母,這幾個字根都有「丩」的特徵
屮,jca,,這幾個字根都有「丩」的特徵
,ju,,這幾個字根都有「丩」的特徵
卩,jje,Jié -> Je,這幾個字根都有「丩」的特徵
,jje,,這幾個字根都有「丩」的特徵
丱,jga,Guān -> Ga,這幾個字根都有「丩」的特徵
向,jxa,Xiàŋ -> Xa,這幾個字根都有「𰃦」的特徵
,jo,🈤無讀音取o,這幾個字根都有「𰃦」的特徵
,jo,🈤無讀音取o,這幾個字根都有「𰃦」的特徵
夊,jvi,Ẑì -> Vi 🈤Z和Ẑ作V 🈕Pū,這幾個字根都有「攵」的特徵
攵,jvi,㊟同夂歸併 🈑同攴,這幾個字根都有「攵」的特徵
寸,jcu,Cùn -> Cu,這幾個字根都有「寸」的特徵
,jo,🈤無讀音取o,這幾個字根都有「寸」的特徵
上,ka,Ŝàŋ -> a 🈤不取聲母,這幾個字根都有「丄」的特徵
丄,ka,Ŝàŋ -> a 🈤不取聲母 🈑上本字,這幾個字根都有「丄」的特徵
,ka,㊟同丄歸併,這幾個字根都有「丄」的特徵
,kwu,Wǔ,這幾個字根都有「丄」的特徵
丑,kco,Ĉǒu -> Co,這幾個字根都有「丄」的特徵
丨,ki,Yī -> i 🈤基本筆畫不取聲母 ㊟俗稱豎 🈕Ŝù Gǔn Tuì,這幾個字根都以若干「丨」構成
〢,ki,,這幾個字根都以若干「丨」構成
〣,ki,,這幾個字根都以若干「丨」構成
丿,ke,Piě -> Pe 🈤基本筆畫不取聲母 ㊟俗稱點 🈕Yí,這幾個字根都以若干「丿」和「丨」構成
彳,ki,Ĉì -> i 🈤不取聲母 ㊟俗稱雙人旁,這幾個字根都以若干「丿」和「丨」構成
,ka,,這幾個字根皆以简单垂笔开头。
彡,ka,Ŝān -> a 🈤不取聲母,這幾個字根都以若干「丿」和「丨」構成
,ko,🈤無讀音取o ㊕不做末根,這幾個字根都以若干「丿」和「丨」構成
亍,kcu,Ĉù,亍類
亡,kwa,Wáŋ -> Wa,這幾個字根都有「亡」的特徵
,klo,Luó -> Lo,這幾個字根都有「亡」的特徵
几,kji,Jǐ,這幾個字根都有「几」的特徵
殳,ku,Ŝǔ -> u 🈤不取聲母,這幾個字根都有「几」的特徵
力,kli,Lì,力類
宀,ka,Miǎn -> a 🈤不取聲母 ㊟俗稱寶蓋頭,這幾個字根都有「宀」的特徵
穴,kxe,Xuè -> Xe,這幾個字根都有「宀」的特徵
尚,ksa,Ŝàŋ -> Sa,這幾個字根都有「宀」的特徵
,ksa,㊟同尚歸併,這幾個字根都有「宀」的特徵
咼,ka,Guǎ -> a 🈤不取聲母,這幾個字根都有「冎」的特徵
,ka,Guǎ ㊟同咼歸併,這幾個字根都有「冎」的特徵
骨,kgu,Gǔ,這幾個字根都有「冎」的特徵
白,kba,Bái -> Ba,這幾個字根都有「白」的特徵
,kdi,Duī -> Di,這幾個字根都有「白」的特徵
至,kvi,Ẑì -> Vi 🈤Z和Ẑ作V,至類
車,kce,Ĉē ㊟對應繁體在M鍵,車類
,kce,,車類
,kce,,車類
长,kca,Ĉáŋ -> Ca ㊟對應繁體在H鍵,長類
矢,ksi,Ŝǐ -> Si,這幾個字根都有「矢」的特徵
缶,kfo,Fǒu -> Fo,這幾個字根都有「矢」的特徵
不,lbu,Bù,不類
八,la,Bā -> a 🈤不取聲母,這幾個字根都有「八」的特徵
冂,ljo,Jiǒŋ -> Jo,這幾個字根都有「冂」的特徵
冊,lce,Cè,這幾個字根都有「冂」的特徵
,lce,,這幾個字根都有「冂」的特徵
,ljo,,這幾個字根都有「冂」的特徵
,ljo,,這幾個字根都有「冂」的特徵
甫,lfu,Fǔ,這幾個字根都有「冂」的特徵
鬥,ldo,Dòu -> Do,這幾個字根都有「冂」的特徵
十,li,Ŝi -> i 🈤不取聲母,這幾個字根都有「十」的特徵
干,lga,Gān -> Ga,這幾個字根都有「十」的特徵
千,lka,Qiān -> Ka 🈤Q作K,這幾個字根都有「十」的特徵
,lka,,這幾個字根都有「十」的特徵
壬,lre,Rén -> Re,這幾個字根都有「十」的特徵
手,lso,Ŝǒu -> So,這幾個字根都有「十」的特徵
,lso,,這幾個字根都有「十」的特徵
毛,lma,Máo -> Ma,這幾個字根都有「十」的特徵
古,lgu,Gǔ,這幾個字根都有「十」的特徵
舌,lse,Ŝé,這幾個字根都有「十」的特徵
未,lwe,Wèi -> We,這幾個字根都有「十」的特徵
末,lmo,Mò,這幾個字根都有「十」的特徵
户,lhu,Hù,這幾個字根都有「户」的特徵
戶,lu,Hù -> u 🈤不取聲母,這幾個字根都有「户」的特徵
戸,lhu,,這幾個字根都有「户」的特徵
月,le,Yuè -> e 🈤不取聲母,這幾個字根都有「夕」的特徵
夕,lxi,Xī,這幾個字根都有「夕」的特徵
,le,,這幾個字根都有「夕」的特徵
,le,,這幾個字根都有「夕」的特徵
止,lvi,Ẑǐ -> Vi 🈤Z和Ẑ作V,這幾個字根都有「止」的特徵
,lvi,㊟同止歸併,這幾個字根都有「止」的特徵
齒,lci,Ĉǐ,這幾個字根都有「止」的特徵
飛,lfe,Fēi -> Fe,飛類
,mvo,Zuǒ -> Zo 🈤Z和Ẑ作V 🈑左本字,這幾個字根都有「𫠠」的特徵
七,mi,Qī -> i 🈤不取聲母,這幾個字根都有「𫠠」的特徵
,mi,㊟同七歸併,這幾個字根都有「𫠠」的特徵
弋,myi,Yì -> yi,這幾個字根都有「𫠠」的特徵
戈,mge,Gē,這幾個字根都有「𫠠」的特徵
戊,mwu,Wù,這幾個字根都有「𫠠」的特徵
车,mce,Ĉē ㊟對應繁體在K鍵,這幾個字根都有「𫠠」的特徵
尸,msi,Ŝī -> Si,尸類
,msi,㊟同尸歸併,尸類
,msi,㊟同尸歸併,尸類
心,mxi,Xīn -> Xi,「心」和「豎心」
,mi,Xīn -> i 🈤不取聲母 ㊟俗稱豎心旁,「心」和「豎心」
方,mfa,Fāŋ -> Fa,方類
爪,ma,Ẑuǎ -> a 🈤不取聲母,這幾個字根都有「爪」的特徵
瓜,mga,Guā -> Ga,這幾個字根都有「爪」的特徵
豸,mvi,Ẑì -> Vi 🈤Z和Ẑ作V,這幾個字根都有「爪」的特徵
癶,mo,Bō -> o 🈤不取聲母,這幾個字根都有「爪」的特徵
人,ne,rén -> e 🈤不取聲母,這幾個字根都有「人」的特徵
合,nhe,Hé,這幾個字根都有「人」的特徵
僉,na,Qiān -> a 🈤不取聲母,這幾個字根都有「人」的特徵
,nhe,🈤無讀音取o,這幾個字根都有「人」的特徵
,nhe,🈤無讀音取o,這幾個字根都有「人」的特徵
食,nsi,Ŝí ㊟對應簡體在J鍵,這幾個字根都有「人」的特徵
兀,nwu,Wù,這幾個字根都有「𫠠」的特徵
囗,nwe,Wéi 🈑圍本字 ㊟不是口,囗類
小,nxa,Xiǎo -> Xa,這幾個字根都有「小」的特徵
,na,Xiǎo -> a 🈤不取聲母,這幾個字根都有「小」的特徵
⺌,nxa,Xiǎo -> Xa 🈑同小,這幾個字根都有「小」的特徵
,na,,這幾個字根都有「小」的特徵
,nxa,,這幾個字根都有「小」的特徵
自,nvi,Zì -> Vi 🈤Z和Ẑ作V,這幾個字根都有「目」的特徵
貝,nbe,Bèi -> Be,這幾個字根都有「目」的特徵
竹,nu,Ẑú -> u 🈤不取聲母,這幾個字根都有「」的特徵
,no,🈤無讀音取o,這幾個字根都有「」的特徵
,no,,這幾個字根都有「」的特徵
西,ni,Xī -> i 🈤不取聲母,這幾個字根都有「西」的特徵
酉,nyo,Yǒu -> Yo,這幾個字根都有「西」的特徵
石,psi,Ŝí,石類
儿,pe,ér -> e,這幾個字根都有「儿」的特徵
,pe,㊟同儿歸併,這幾個字根都有「儿」的特徵
,pe,㊟同儿歸併,這幾個字根都有「儿」的特徵
川,pca,Ĉuān -> Ca,這幾個字根都有「儿」的特徵
巛,pca,㊟同川歸併,這幾個字根都有「儿」的特徵
巜,pca,,這幾個字根都有「儿」的特徵
勹,pa,Bāo -> a 🈤不取聲母,勹類
,pa,,勹類
,pa,㊟同勹歸併,勹類
巴,pa,Bā -> a 🈤不取聲母,巴類
火,po,Huǒ -> o 🈤不取聲母,這幾個字根都有「火」的特徵
灬,pba,Biāo -> Ba 🈕Hǔo,這幾個字根都有「火」的特徵
臼,pu,Jìù -> u 🈤不取聲母,這幾個字根都有「臼」的特徵
,pu,Jǔ -> u 🈤不取聲母,這幾個字根都有「臼」的特徵
又,qo,Yòu -> o 🈤不取聲母,這幾個字根都有「又」的特徵
,qo,🈤無讀音取o,這幾個字根都有「又」的特徵
,qo,,這幾個字根都有「又」的特徵
卌,qi,Xì -> i 🈤不取聲母,這幾個字根都有「卄」的特徵
卅,qi,㊟同卌歸併 🈕Sà,這幾個字根都有「卄」的特徵
艹,qi,㊟同卌歸併 🈕Cǎo,這幾個字根都有「卄」的特徵
廾,qi,㊟同卌歸併 🈕Gǒng,這幾個字根都有「卄」的特徵
,qi,㊟同卌歸併,這幾個字根都有「卄」的特徵
,qi,㊟同卌歸併,這幾個字根都有「卄」的特徵
,qi,㊟同卌歸併,這幾個字根都有「卄」的特徵
其,qki,Qí 🈤Q作K 🈕Jī Jì,這幾個字根都有「卄」的特徵
丂,rka,Kào -> Ka,這幾個字根都有「一 + 折笔」的特徵
,rka,,這幾個字根都有「一 + 折笔」的特徵
业,rye,Yè ㊟對應繁體偏旁在F鍵,业類
之,ri,Ẑī -> i 🈤不取聲母,之類
二,rje,èr -> Je 🈤零聲母小碼取J,這幾個字根都有「二」「冫」的特徵
⺀,rje,㊟同二歸併,這幾個字根都有「二」「冫」的特徵
,rje,㊟同二歸併,這幾個字根都有「二」「冫」的特徵
,rje,èr -> Je 🈑同二 🈑冰本字 🈕Bīng,這幾個字根都有「二」「冫」的特徵
丬,ra,Qiáŋ -> a 🈤不取聲母,這幾個字根都有「二」「冫」的特徵
疒,rne,Nè ㊟俗稱病字頭,這幾個字根都有「二」「冫」的特徵
辰,rce,Ĉén -> Ce,這幾個字根都有「二」「冫」的特徵
,ri,Yì -> i 🈤不取聲母,𠂆類
來,rla,Lái -> La,來類
卜,rpu,Pū 🈕Bǔ Bo,這幾個字根都有「卜」的特徵
,rpu,㊟同卜歸併,這幾個字根都有「卜」的特徵
,ro,🈤無讀音取o,這幾個字根都有「卜」的特徵
,ro,🈤無讀音取o,這幾個字根都有「卜」的特徵
虎,rhu,Hǔ,這幾個字根都有「卜」的特徵
虍,rhu,㊟同虎歸併,這幾個字根都有「卜」的特徵
,rhu,㊟同虎歸併,這幾個字根都有「卜」的特徵
鹵,rlu,Lǔ,這幾個字根都有「卜」的特徵
罒,rwa,Wǎŋ -> Wa,這幾個字根都有「皿」的特徵
皿,rmi,Mǐn -> Mi,這幾個字根都有「皿」的特徵
,ro,🈤無讀音取o,這幾個字根都有「皿」的特徵
羊,rya,Yáŋ -> Ya,羊類
,rya,,羊類
,rya,,羊類
,ro,🈤無讀音取o,羊類
见,rja,Jiàn -> j ㊟對應繁體在F鍵,见類
言,ra,Yán -> a 🈤不取聲母 ㊟對應簡體在W鍵,言類
马,rma,Mǎ ㊟對應簡體在G鍵,马類
也,se,Yě -> e 🈤不取聲母,也類
乜,sme,Miē -> Me,也類
牛,snu,Niú -> Nu,這幾個字根都有「土」的特徵
,ska,Kuà -> Ka,這幾個字根都有「土」的特徵
,ska,,這幾個字根都有「土」的特徵
士,si,Ŝì -> i 🈤不取聲母,這幾個字根都有「土」的特徵
土,su,Tǔ -> u 🈤不取聲母,這幾個字根都有「土」的特徵
,se,Ŝēŋ ->  🈤不取聲母,這幾個字根都有「土」的特徵
耂,sla,Lǎo -> La,這幾個字根都有「土」的特徵
,svu,Ẑú -> Vu 🈤Z和Ẑ作V,這幾個字根都有「土」的特徵
,so,🈤無讀音取o ㊕不做末根,這幾個字根都有「土」的特徵
尤,syo,Yóu -> Yo,這幾個字根都有「九」的特徵
尢,so,Yóu -> o 🈤不取聲母 🈑尤本字 🈕Wāŋ,這幾個字根都有「九」的特徵
九,sju,Jiǔ -> Ju,這幾個字根都有「九」的特徵
山,ssa,Ŝān -> Sa,山類
廴,si,Yín -> i 🈤不取聲母,廴類
豕,ssi,Ŝǐ,「魯魚亥豕」
,ssi,㊟同豕歸併 🈕Gēng,「魯魚亥豕」
鳥,sna,Niǎo -> Na ㊟對應繁體在F鍵,這幾個字根都有「灬」的特徵
烏,swu,Wū ㊟對應繁體在F鍵,這幾個字根都有「灬」的特徵
,sna,㊟對應繁體在F鍵,這幾個字根都有「灬」的特徵
魚,syu,Yú ㊟對應繁體在F鍵,這幾個字根都有「灬」的特徵
,swu,㊟對應繁體在F鍵,這幾個字根都有「灬」的特徵
黑,she,Hēi -> He,這幾個字根都有「灬」的特徵
丶,tu,Ẑǔ -> u 🈤基本筆畫不取聲母 ㊟俗稱點,點或捺
乀,tu,Fú -> u 🈤基本筆畫不取聲母 ㊟俗稱捺,點或捺
欠,tka,Qiān -> Ka 🈤Q作K,欠類
匕,ti,i 🈤不取聲母,匕類
,ti,㊟同匕歸併 🈑化本字 🈕Huà,匕類
,to,Ŝǒu -> o 🈤不取聲母 ㊟俗稱提手旁,匕類
用,to,Yòŋ -> o 🈤不取聲母,用類
,vo,🈤無讀音取o,コ類
,vo,,遊離字根
刀,va,Dāo -> a 🈤不取聲母,這幾個字根都形似「刀」
,vda,Dāo -> Da ㊟俗稱立刀旁,這幾個字根都形似「刀」
巾,vji,Jīn -> Ji,這幾個字根都形似「刀」
亦,vyi,Yì,亦類
,vyi,,亦類
且,vke,Qiě -> Ke 🈤Q作K,這幾個字根都形似「且」
,vo,🈤無讀音取o,這幾個字根都形似「且」
米,vmi,Mǐ,這幾個字根都有「丨」穿插「丷」的特徵
水,vi,Ŝuǐ -> i 🈤不取聲母,這幾個字根都有「丨」穿插「丷」的特徵
氺,vi,,這幾個字根都有「丨」穿插「丷」的特徵
,vi,Ŝuǐ -> i 🈤不取聲母 ㊟俗稱三點水,這幾個字根都有「丨」穿插「丷」的特徵
,vo,🈤無讀音取o,這幾個字根都有「丨」穿插「丷」的特徵
甶,vfu,Fǔ,這幾個字根都有「甶」的特徵
,vfu,㊟同甶歸併,這幾個字根都有「甶」的特徵
鬼,vgi,Guǐ -> Gi,這幾個字根都有「甶」的特徵
,vgi,㊟同鬼歸併,這幾個字根都有「甶」的特徵
犬,wa,Quǎn -> a 🈤不取聲母,「犬」和「反犬」
,wka,Quǎn -> Ka 🈤Q作K ㊟俗稱反犬旁,「犬」和「反犬」
乃,wna,Nǎi -> Na,遊離字根
乙,wi,Yǐ -> i 🈤基本筆畫不取聲母 ㊟一切折筆皆同碼,這類字根包含所有折畫
乚,wi,Yí -> i 🈤基本筆畫不取聲母 ㊟一切折筆皆同碼,這類字根包含所有折畫
亅,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wi,,這幾個字根包含所有折畫
,wo,🈤無讀音取o ㊟牛字根的上方,遊離字根
卯,wma,Mǎo -> Ma,這幾個字根都有「卯左」的特徵
,wma,Mǎo -> Ma,這幾個字根都有「卯左」的特徵
,wo,🈤無讀音取o,這幾個字根都有「卯左」的特徵
,wo,,這幾個字根都有「卯左」的特徵
,wo,,這幾個字根都有「卯左」的特徵
,wo,,這幾個字根都有「卯左」的特徵
片,wpa,Piàn -> Pa,「片」和「反片」
爿,wa,Pán -> a 🈤不取聲母 🈕Qiáng,「片」和「反片」
禺,wyu,Yǔ,遊離字根
禾,whe,Hé,這幾個字根都有「夭」的特徵
夭,wya,yāo -> Ya,這幾個字根都有「夭」的特徵
,wa,Yán -> a 🈤不取聲母,這幾個字根都有「i」的特徵
辶,wo,Ĉuò -> o 🈤不取聲母 ㊟俗稱走之底,這幾個字根都有「i」的特徵
⻍,wo,,這幾個字根都有「i」的特徵
革,wge,Gé,遊離字根
,wo,🈤無讀音取o,類
习,xi,Xí -> i 🈤不取聲母,习類
匚,xfa,Fāŋ -> Fa,「匚」類
,xfa,,「匚」類
木,xu,Mù -> u 🈤不取聲母,「木」類
朩,xu,,「木」類
甲,xja,Jiā -> Ja,這類字根都有「甲」的特徵
里,xli,Lǐ,這類字根都有「甲」的特徵
大,yda,Dà,這幾個字根都有「大」的特徵
夫,yfu,Fū,這幾個字根都有「大」的特徵
,ydi,Dí,這幾個字根都有「大」的特徵
王,ya,Wáŋ -> a 🈤不取聲母,王類
瓦,ywa,Wǎ,瓦類
糸,yi,Sī -> i 🈤不取聲母 🈕Mì ㊟對應簡體在C鍵,糸類
,yi,㊟對應簡體在C鍵,糸類
非,yfe,Fēi -> Fe,非類
